lines,unet,naive,ours
2.600000000000000000e+01,2.563322067260742188e+01,2.225663185119628906e+01,2.544609069824218750e+01
2.700000000000000000e+01,2.563664627075195312e+01,2.225666236877441406e+01,2.525343132019042969e+01
2.800000000000000000e+01,2.576766777038574219e+01,2.226095390319824219e+01,2.493701934814453125e+01
2.900000000000000000e+01,2.588755798339843750e+01,2.226526641845703125e+01,2.520241165161132812e+01
3.000000000000000000e+01,2.605557441711425781e+01,2.227293395996093750e+01,2.523091888427734375e+01
3.100000000000000000e+01,2.620675086975097656e+01,2.227592849731445312e+01,2.531829833984375000e+01
3.200000000000000000e+01,2.620654678344726562e+01,2.227593612670898438e+01,2.558197402954101562e+01
3.300000000000000000e+01,2.621552467346191406e+01,2.227594375610351562e+01,2.585933303833007812e+01
3.400000000000000000e+01,2.637999725341796875e+01,2.228030776977539062e+01,2.606345176696777344e+01
3.500000000000000000e+01,2.645209312438964844e+01,2.228233146667480469e+01,2.536900329589843750e+01
3.600000000000000000e+01,2.721037864685058594e+01,2.230487823486328125e+01,2.717253684997558594e+01
3.700000000000000000e+01,2.737958145141601562e+01,2.230919647216796875e+01,2.718023681640625000e+01
3.800000000000000000e+01,2.833187866210937500e+01,2.233169555664062500e+01,2.735117912292480469e+01
3.900000000000000000e+01,2.872137451171875000e+01,2.235180091857910156e+01,2.757244873046875000e+01
4.000000000000000000e+01,2.925258827209472656e+01,2.237104797363281250e+01,2.895197868347167969e+01
4.100000000000000000e+01,2.942645263671875000e+01,2.237908935546875000e+01,2.862290382385253906e+01
4.200000000000000000e+01,2.942741775512695312e+01,2.237911605834960938e+01,2.835043334960937500e+01
4.300000000000000000e+01,2.951239013671875000e+01,2.238665771484375000e+01,2.836545753479003906e+01
4.400000000000000000e+01,2.959723663330078125e+01,2.238988685607910156e+01,2.836475753784179688e+01
4.500000000000000000e+01,2.966278266906738281e+01,2.239257049560546875e+01,2.854427146911621094e+01
4.600000000000000000e+01,2.966648292541503906e+01,2.239255523681640625e+01,2.834605979919433594e+01
4.700000000000000000e+01,2.978366851806640625e+01,2.239607810974121094e+01,2.830094909667968750e+01
4.800000000000000000e+01,3.025533294677734375e+01,2.256132125854492188e+01,3.073508453369140625e+01
4.900000000000000000e+01,3.044806671142578125e+01,2.260059165954589844e+01,3.108688354492187500e+01
5.000000000000000000e+01,3.045009994506835938e+01,2.260054779052734375e+01,3.118314933776855469e+01
5.100000000000000000e+01,3.069402503967285156e+01,2.261764335632324219e+01,3.136915206909179688e+01
5.200000000000000000e+01,3.069469642639160156e+01,2.261766052246093750e+01,3.128786849975585938e+01
5.300000000000000000e+01,3.081917572021484375e+01,2.269351768493652344e+01,3.161141204833984375e+01
5.400000000000000000e+01,3.082024574279785156e+01,2.269571685791015625e+01,3.164469909667968750e+01
5.500000000000000000e+01,3.088434028625488281e+01,2.269898986816406250e+01,3.170876693725585938e+01
5.600000000000000000e+01,3.086269187927246094e+01,2.270220756530761719e+01,3.174468803405761719e+01
5.700000000000000000e+01,3.105342102050781250e+01,2.271450996398925781e+01,3.166005706787109375e+01
