x,a,b,c,d
0.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00
5.025125628140703592e-03,1.848299838602542877e+00,3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00
1.005025125628140718e-02,1.132846809923648834e+00,3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00
1.507537688442210991e-02,9.159949198365211487e-01,3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00
2.010050251256281437e-02,7.859960570931434631e-01,3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00
2.512562814070351883e-02,6.793708577752113342e-01,3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00
3.015075376884421982e-02,5.816501155495643616e-01,2.556006491184234619e+00,3.000000000000000000e+00,3.000000000000000000e+00
3.517587939698492427e-02,4.898811355233192444e-01,2.192667067050933838e+00,3.000000000000000000e+00,3.000000000000000000e+00
4.020100502512562873e-02,4.045600369572639465e-01,1.924155294895172119e+00,3.000000000000000000e+00,3.000000000000000000e+00
4.522613065326633319e-02,3.269150629639625549e-01,1.709854900836944580e+00,3.000000000000000000e+00,3.000000000000000000e+00
5.025125628140703765e-02,2.579671218991279602e-01,1.528893768787384033e+00,3.000000000000000000e+00,3.000000000000000000e+00
5.527638190954774211e-02,1.982610598206520081e-01,1.370051920413970947e+00,3.000000000000000000e+00,3.000000000000000000e+00
6.030150753768843963e-02,1.478352323174476624e-01,1.227245151996612549e+00,3.000000000000000000e+00,3.000000000000000000e+00
6.532663316582915103e-02,1.063189432024955750e-01,1.097177326679229736e+00,2.761092543601989746e+00,3.000000000000000000e+00
7.035175879396984855e-02,7.305978983640670776e-02,9.780136942863464355e-01,2.510099053382873535e+00,3.000000000000000000e+00
7.537688442211055995e-02,4.723720997571945190e-02,8.686872124671936035e-01,2.289175868034362793e+00,3.000000000000000000e+00
8.040201005025125747e-02,2.796574681997299194e-02,7.685182690620422363e-01,2.091726183891296387e+00,3.000000000000000000e+00
8.542713567839195499e-02,1.437437534332275391e-02,6.769970059394836426e-01,1.913272500038146973e+00,3.000000000000000000e+00
9.045226130653266639e-02,5.653180181980133057e-03,5.936734080314636230e-01,1.750694155693054199e+00,3.000000000000000000e+00
9.547738693467336391e-02,1.074559986591339111e-03,5.181140303611755371e-01,1.601755023002624512e+00,3.000000000000000000e+00
1.005025125628140753e-01,0.000000000000000000e+00,4.498825669288635254e-01,1.464805006980895996e+00,2.913342356681823730e+00
1.055276381909547728e-01,1.877985894680023193e-03,3.885342478752136230e-01,1.338585019111633301e+00,2.697872996330261230e+00
1.105527638190954842e-01,6.237395107746124268e-03,3.336136937141418457e-01,1.222095847129821777e+00,2.500896573066711426e+00
1.155778894472361817e-01,1.267816871404647827e-02,2.846613526344299316e-01,1.114516615867614746e+00,2.319947600364685059e+00
1.206030150753768793e-01,2.086166292428970337e-02,2.412205934524536133e-01,1.015152573585510254e+00,2.153080344200134277e+00
1.256281407035175768e-01,3.050135076045989990e-02,2.028444409370422363e-01,9.234004020690917969e-01,1.998732209205627441e+00
1.306532663316583021e-01,4.135492444038391113e-02,1.691012978553771973e-01,8.387240171432495117e-01,1.855623602867126465e+00
1.356783919597989996e-01,5.321710556745529175e-02,1.395803689956665039e-01,7.606382369995117188e-01,1.722692370414733887e+00
1.407035175879396971e-01,6.591405719518661499e-02,1.138949990272521973e-01,6.886950731277465820e-01,1.599039435386657715e+00
1.457286432160803946e-01,7.929830998182296753e-02,9.168547391891479492e-02,6.224786043167114258e-01,1.483894467353820801e+00
1.507537688442211199e-01,9.324478358030319214e-02,7.262027263641357422e-02,5.615996122360229492e-01,1.376590132713317871e+00
1.557788944723618174e-01,1.076470836997032166e-01,5.639547109603881836e-02,5.056924819946289062e-01,1.276538968086242676e+00
1.608040201005025149e-01,1.224149391055107117e-01,4.273426532745361328e-02,4.544118642807006836e-01,1.183218836784362793e+00
1.658291457286432125e-01,1.374715194106101990e-01,3.138464689254760742e-02,4.074312448501586914e-01,1.096161484718322754e+00
1.708542713567839100e-01,1.527513489127159119e-01,2.211850881576538086e-02,3.644421100616455078e-01,1.014942288398742676e+00
1.758793969849246352e-01,1.681986823678016663e-01,1.472890377044677734e-02,3.251532316207885742e-01,9.391738176345825195e-01
1.809045226130653328e-01,1.837659850716590881e-01,9.029150009155273438e-03,2.892915010452270508e-01,8.685003519058227539e-01
1.859296482412060303e-01,1.994126513600349426e-01,4.850804805755615234e-03,2.566010951995849609e-01,8.025923967361450195e-01
1.909547738693467278e-01,2.151041701436042786e-01,2.042055130004882812e-03,2.268435955047607422e-01,7.411438226699829102e-01
1.959798994974874531e-01,2.308109477162361145e-01,4.661083221435546875e-04,1.997978687286376953e-01,6.838685274124145508e-01
2.010050251256281506e-01,2.465077713131904602e-01,0.000000000000000000e+00,1.752583980560302734e-01,6.304979324340820312e-01
2.060301507537688481e-01,2.621731236577033997e-01,5.329251289367675781e-04,1.530350446701049805e-01,5.807799100875854492e-01
2.110552763819095456e-01,2.777887359261512756e-01,1.965343952178955078e-03,1.329518556594848633e-01,5.344784259796142578e-01
2.160804020100502432e-01,2.933390215039253235e-01,4.207611083984375000e-03,1.148458719253540039e-01,4.913711547851562500e-01
2.211055276381909684e-01,3.088108077645301819e-01,7.179141044616699219e-03,9.856700897216796875e-02,4.512510299682617188e-01
2.261306532663316660e-01,3.241928294301033020e-01,1.080721616744995117e-02,8.397591114044189453e-02,4.139233827590942383e-01
2.311557788944723635e-01,3.394757285714149475e-01,1.502621173858642578e-02,7.094430923461914062e-02,3.792070150375366211e-01
2.361809045226130610e-01,3.546516075730323792e-01,1.977717876434326172e-02,5.935370922088623047e-02,3.469325304031372070e-01
2.412060301507537585e-01,3.697138205170631409e-01,2.500677108764648438e-02,4.909503459930419922e-02,3.169416189193725586e-01
2.462311557788944838e-01,3.846568539738655090e-01,3.066670894622802734e-02,4.006743431091308594e-02,2.890868186950683594e-01
2.512562814070351536e-01,3.994763568043708801e-01,3.671360015869140625e-02,3.217816352844238281e-02,2.632306814193725586e-01
2.562814070351758788e-01,4.141687229275703430e-01,4.310780763626098633e-02,2.534127235412597656e-02,2.392443418502807617e-01
2.613065326633166041e-01,4.287310019135475159e-01,4.981386661529541016e-02,1.947844028472900391e-02,2.170081138610839844e-01
2.663316582914572739e-01,4.431609287858009338e-01,5.679923295974731445e-02,1.451671123504638672e-02,1.964102983474731445e-01
2.713567839195979992e-01,4.574569836258888245e-01,6.403458118438720703e-02,1.038908958435058594e-02,1.773461103439331055e-01
2.763819095477387244e-01,4.716179147362709045e-01,7.149338722229003906e-02,7.034063339233398438e-03,1.597183942794799805e-01
2.814070351758793942e-01,4.856430068612098694e-01,7.915133237838745117e-02,4.394531250000000000e-03,1.434358358383178711e-01
2.864321608040201195e-01,4.995319619774818420e-01,8.698654174804687500e-02,2.418160438537597656e-03,1.284140348434448242e-01
2.914572864321607892e-01,5.132846608757972717e-01,9.497916698455810547e-02,1.056194305419921875e-03,1.145734786987304688e-01
2.964824120603015145e-01,5.269014015793800354e-01,1.031107306480407715e-01,2.640485763549804688e-04,1.018401384353637695e-01
3.015075376884422398e-01,5.403826013207435608e-01,1.113649606704711914e-01,0.000000000000000000e+00,9.014534950256347656e-02
3.065326633165829096e-01,5.537289753556251526e-01,1.197265386581420898e-01,2.263784408569335938e-04,7.942461967468261719e-02
3.115577889447236348e-01,5.669414177536964417e-01,1.281819343566894531e-01,9.073019027709960938e-04,6.961774826049804688e-02
