a,b,c,d,e,f
-2.000000000000000000e+01,nan,nan,nan,nan,nan
-1.999599959995999754e+01,nan,nan,nan,nan,nan
-1.999199919991999153e+01,nan,nan,nan,nan,nan
-1.998799879987998906e+01,nan,nan,nan,nan,nan
-1.998399839983998305e+01,nan,nan,nan,nan,nan
-1.997999799979998059e+01,nan,nan,nan,nan,nan
-1.997599759975997458e+01,nan,nan,nan,nan,nan
-1.997199719971997212e+01,nan,nan,nan,nan,nan
-1.996799679967996966e+01,nan,nan,nan,nan,nan
-1.996399639963996364e+01,nan,nan,nan,nan,nan
-1.995999599959996118e+01,nan,nan,nan,nan,nan
-1.995599559955995517e+01,nan,nan,nan,nan,nan
-1.995199519951995271e+01,nan,nan,nan,nan,nan
-1.994799479947994669e+01,nan,nan,nan,nan,nan
-1.994399439943994423e+01,nan,nan,nan,nan,nan
-1.993999399939993822e+01,nan,nan,nan,nan,nan
-1.993599359935993576e+01,nan,nan,nan,nan,nan
-1.993199319931993330e+01,nan,nan,nan,nan,nan
-1.992799279927992728e+01,nan,nan,nan,nan,nan
-1.992399239923992482e+01,nan,nan,nan,nan,nan
-1.991999199919991881e+01,nan,nan,nan,nan,nan
-1.991599159915991635e+01,nan,nan,nan,nan,nan
-1.991199119911991033e+01,nan,nan,nan,nan,nan
-1.990799079907990787e+01,nan,nan,nan,nan,nan
-1.990399039903990541e+01,nan,nan,nan,nan,nan
-1.989998999899989940e+01,nan,nan,nan,nan,nan
-1.989598959895989694e+01,nan,nan,nan,nan,nan
-1.989198919891989092e+01,nan,nan,nan,nan,nan
-1.988798879887988846e+01,nan,nan,nan,nan,nan
-1.988398839883988245e+01,nan,nan,nan,nan,nan
-1.987998799879987999e+01,nan,nan,nan,nan,nan
-1.987598759875987753e+01,nan,nan,nan,nan,nan
-1.987198719871987151e+01,nan,nan,nan,nan,nan
-1.986798679867986905e+01,nan,nan,nan,nan,nan
-1.986398639863986304e+01,nan,nan,nan,nan,nan
-1.985998599859986058e+01,nan,nan,nan,nan,nan
-1.985598559855985457e+01,nan,nan,nan,nan,nan
-1.985198519851985210e+01,nan,nan,nan,nan,nan
-1.984798479847984964e+01,nan,nan,nan,nan,nan
-1.984398439843984363e+01,nan,nan,nan,nan,nan
-1.983998399839984117e+01,nan,nan,nan,nan,nan
-1.983598359835983516e+01,nan,nan,nan,nan,nan
-1.983198319831983270e+01,nan,nan,nan,nan,nan
-1.982798279827982668e+01,nan,nan,nan,nan,nan
-1.982398239823982422e+01,nan,nan,nan,nan,nan
-1.981998199819982176e+01,nan,nan,nan,nan,nan
-1.981598159815981575e+01,nan,nan,nan,nan,nan
-1.981198119811981329e+01,nan,nan,nan,nan,nan
-1.980798079807980727e+01,nan,nan,nan,nan,nan
-1.980398039803980481e+01,nan,nan,nan,nan,nan
-1.979997999799979880e+01,nan,nan,nan,nan,nan
-1.979597959795979634e+01,nan,nan,nan,nan,nan
-1.979197919791979032e+01,nan,nan,nan,nan,nan
-1.978797879787978786e+01,nan,nan,nan,nan,nan
-1.978397839783978540e+01,nan,nan,nan,nan,nan
-1.977997799779977939e+01,nan,nan,nan,nan,nan
-1.977597759775977693e+01,nan,nan,nan,nan,nan
-1.977197719771977091e+01,nan,nan,nan,nan,nan
-1.976797679767976845e+01,nan,nan,nan,nan,nan
-1.976397639763976244e+01,nan,nan,nan,nan,nan
-1.975997599759975998e+01,nan,nan,nan,nan,nan
-1.975597559755975752e+01,nan,nan,nan,nan,nan
-1.975197519751975150e+01,nan,nan,nan,nan,nan
-1.974797479747974904e+01,nan,nan,nan,nan,nan
-1.974397439743974303e+01,nan,nan,nan,nan,nan
-1.973997399739974057e+01,nan,nan,nan,nan,nan
-1.973597359735973455e+01,nan,nan,nan,nan,nan
-1.973197319731973209e+01,nan,nan,nan,nan,nan
-1.972797279727972963e+01,nan,nan,nan,nan,nan
-1.972397239723972362e+01,nan,nan,nan,nan,nan
-1.971997199719972116e+01,nan,nan,nan,nan,nan
-1.971597159715971515e+01,nan,nan,nan,nan,nan
-1.971197119711971268e+01,nan,nan,nan,nan,nan
-1.970797079707970667e+01,nan,nan,nan,nan,nan
-1.970397039703970421e+01,nan,nan,nan,nan,nan
-1.969996999699969820e+01,nan,nan,nan,nan,nan
-1.969596959695969574e+01,nan,nan,nan,nan,nan
-1.969196919691969327e+01,nan,nan,nan,nan,nan
-1.968796879687968726e+01,nan,nan,nan,nan,nan
-1.968396839683968480e+01,nan,nan,nan,nan,nan
-1.967996799679967879e+01,nan,nan,nan,nan,nan
-1.967596759675967633e+01,nan,nan,nan,nan,nan
-1.967196719671967031e+01,nan,nan,nan,nan,nan
-1.966796679667966785e+01,nan,nan,nan,nan,nan
-1.966396639663966539e+01,nan,nan,nan,nan,nan
-1.965996599659965938e+01,nan,nan,nan,nan,nan
-1.965596559655965692e+01,nan,nan,nan,nan,nan
-1.965196519651965090e+01,nan,nan,nan,nan,nan
-1.964796479647964844e+01,nan,nan,nan,nan,nan
-1.964396439643964243e+01,nan,nan,nan,nan,nan
-1.963996399639963997e+01,nan,nan,nan,nan,nan
-1.963596359635963751e+01,nan,nan,nan,nan,nan
-1.963196319631963149e+01,nan,nan,nan,nan,nan
-1.962796279627962903e+01,nan,nan,nan,nan,nan
-1.962396239623962302e+01,nan,nan,nan,nan,nan
-1.961996199619962056e+01,nan,nan,nan,nan,nan
-1.961596159615961454e+01,nan,nan,nan,nan,nan
