x,a,b,c,d,e
-1.649999976158142090e+00,-2.498600097656250000e+03,-1.103278274536132812e+02,-2.862514305114746094e+01,-8.369681358337402344e+00,-4.389507770538330078e+00
-1.641729354858398438e+00,-2.466807861328125000e+03,-1.089241027832031250e+02,-2.826573181152343750e+01,-8.310822486877441406e+00,-4.368402957916259766e+00
-1.633458614349365234e+00,-2.435014892578125000e+03,-1.075203475952148438e+02,-2.790645790100097656e+01,-8.253098487854003906e+00,-4.347278594970703125e+00
-1.625187993049621582e+00,-2.403222900390625000e+03,-1.061166152954101562e+02,-2.754736137390136719e+01,-8.196559906005859375e+00,-4.326136112213134766e+00
-1.616917252540588379e+00,-2.371429931640625000e+03,-1.047128753662109375e+02,-2.718842124938964844e+01,-8.141236305236816406e+00,-4.304973125457763672e+00
-1.608646631240844727e+00,-2.339637695312500000e+03,-1.033091659545898438e+02,-2.682965469360351562e+01,-8.087185859680175781e+00,-4.283793449401855469e+00
-1.600375890731811523e+00,-2.307844970703125000e+03,-1.019054718017578125e+02,-2.647109794616699219e+01,-8.034451484680175781e+00,-4.262596607208251953e+00
-1.592105269432067871e+00,-2.276052734375000000e+03,-1.005017776489257812e+02,-2.611272811889648438e+01,-7.983081817626953125e+00,-4.241379261016845703e+00
-1.583834528923034668e+00,-2.244260009765625000e+03,-9.909809112548828125e+01,-2.575456619262695312e+01,-7.933126926422119141e+00,-4.220145702362060547e+00
-1.575563907623291016e+00,-2.212467773437500000e+03,-9.769443511962890625e+01,-2.539662742614746094e+01,-7.884626865386962891e+00,-4.198891639709472656e+00
-1.567293167114257812e+00,-2.180675048828125000e+03,-9.629076385498046875e+01,-2.503892517089843750e+01,-7.837643623352050781e+00,-4.177624702453613281e+00
-1.559022545814514160e+00,-2.148882812500000000e+03,-9.488713836669921875e+01,-2.468147087097167969e+01,-7.792223930358886719e+00,-4.156335830688476562e+00
-1.550751805305480957e+00,-2.117090087890625000e+03,-9.348349761962890625e+01,-2.432427215576171875e+01,-7.748414516448974609e+00,-4.135032653808593750e+00
-1.542481184005737305e+00,-2.085297607421875000e+03,-9.207991790771484375e+01,-2.396735191345214844e+01,-7.706268310546875000e+00,-4.113710880279541016e+00
-1.534210562705993652e+00,-2.053505615234375000e+03,-9.067633819580078125e+01,-2.361073112487792969e+01,-7.665849208831787109e+00,-4.092374801635742188e+00
-1.525939822196960449e+00,-2.021712646484375000e+03,-8.927277374267578125e+01,-2.325441360473632812e+01,-7.627196311950683594e+00,-4.071021080017089844e+00
-1.517669200897216797e+00,-1.989920532226562500e+03,-8.786923980712890625e+01,-2.289841842651367188e+01,-7.590364933013916016e+00,-4.049651145935058594e+00
-1.509398460388183594e+00,-1.958127685546875000e+03,-8.646572113037109375e+01,-2.254277610778808594e+01,-7.555413722991943359e+00,-4.028265953063964844e+00
-1.501127839088439941e+00,-1.926335449218750000e+03,-8.506226348876953125e+01,-2.218749237060546875e+01,-7.522385597229003906e+00,-4.006866455078125000e+00
-1.492857098579406738e+00,-1.894542846679687500e+03,-8.365881347656250000e+01,-2.183259582519531250e+01,-7.491335391998291016e+00,-3.985448360443115234e+00
-1.484586477279663086e+00,-1.862750488281250000e+03,-8.225543212890625000e+01,-2.147812461853027344e+01,-7.462311267852783203e+00,-3.964020013809204102e+00
-1.476315736770629883e+00,-1.830957885742187500e+03,-8.085205841064453125e+01,-2.112408065795898438e+01,-7.435358524322509766e+00,-3.942570686340332031e+00
-1.468045115470886230e+00,-1.799165405273437500e+03,-7.944875335693359375e+01,-2.077050781250000000e+01,-7.410526752471923828e+00,-3.921113014221191406e+00
-1.459774374961853027e+00,-1.767372802734375000e+03,-7.804548645019531250e+01,-2.041742706298828125e+01,-7.387857437133789062e+00,-3.899636745452880859e+00
