x,a,b,c,d,e
-1.649999976158142090e+00,8.168077392578125000e+02,4.217900085449218750e+01,1.624359321594238281e+01,9.533829689025878906e+00,4.074912071228027344e+00
-1.641729354858398438e+00,7.962742309570312500e+02,4.127232742309570312e+01,1.600833320617675781e+01,9.464851379394531250e+00,4.038695335388183594e+00
-1.633458614349365234e+00,7.760034179687500000e+02,4.037725067138671875e+01,1.577603912353515625e+01,9.396354675292968750e+00,4.002652645111083984e+00
-1.625187993049621582e+00,7.559957885742187500e+02,3.949379348754882812e+01,1.554672241210937500e+01,9.328330993652343750e+00,3.966785192489624023e+00
-1.616917252540588379e+00,7.362507934570312500e+02,3.862193679809570312e+01,1.532036781311035156e+01,9.260768890380859375e+00,3.931092262268066406e+00
-1.608646631240844727e+00,7.167691040039062500e+02,3.776170349121093750e+01,1.509698772430419922e+01,9.193659782409667969e+00,3.895574808120727539e+00
-1.600375890731811523e+00,6.975500488281250000e+02,3.691306304931640625e+01,1.487656974792480469e+01,9.126992225646972656e+00,3.860232591629028320e+00
-1.592105269432067871e+00,6.785941772460937500e+02,3.607604598999023438e+01,1.465911865234375000e+01,9.060754776000976562e+00,3.825066328048706055e+00
-1.583834528923034668e+00,6.599010009765625000e+02,3.525062561035156250e+01,1.444462776184082031e+01,8.994936943054199219e+00,3.790074348449707031e+00
-1.575563907623291016e+00,6.414710693359375000e+02,3.443682861328125000e+01,1.423310279846191406e+01,8.929526329040527344e+00,3.755258798599243164e+00
-1.567293167114257812e+00,6.233037719726562500e+02,3.363462829589843750e+01,1.402453327178955078e+01,8.864510536193847656e+00,3.720619201660156250e+00
-1.559022545814514160e+00,6.053997192382812500e+02,3.284404754638671875e+01,1.381892395019531250e+01,8.799877166748046875e+00,3.686155796051025391e+00
-1.550751805305480957e+00,5.877583618164062500e+02,3.206506347656250000e+01,1.361626815795898438e+01,8.735611915588378906e+00,3.651867866516113281e+00
-1.542481184005737305e+00,5.703801879882812500e+02,3.129770278930664062e+01,1.341656684875488281e+01,8.671703338623046875e+00,3.617756843566894531e+00
-1.534210562705993652e+00,5.532649536132812500e+02,3.054195022583007812e+01,1.321981620788574219e+01,8.608136177062988281e+00,3.583822011947631836e+00
