x,a,b,c,d,e
-1.492959976196289062e+00,-3.332204580307006836e+00,-3.178053855895996094e+00,-3.610918045043945312e+00,-6.214608192443847656e+00,-1.049105167388916016e+01
-1.468879938125610352e+00,-3.610918045043945312e+00,-3.401197433471679688e+00,-3.806662559509277344e+00,-6.415096759796142578e+00,-1.055526542663574219e+01
-1.444800019264221191e+00,-3.663561582565307617e+00,-3.637586116790771484e+00,-3.850147724151611328e+00,-6.548219203948974609e+00,-1.060903263092041016e+01
-1.420719981193542480e+00,-3.433987140655517578e+00,-3.610918045043945312e+00,-4.025351524353027344e+00,-6.804614543914794922e+00,-1.067523765563964844e+01
-1.396640062332153320e+00,-3.713572025299072266e+00,-3.610918045043945312e+00,-4.060442924499511719e+00,-6.910750865936279297e+00,-1.072788238525390625e+01
-1.372560024261474609e+00,-3.401197433471679688e+00,-3.891820430755615234e+00,-4.304065227508544922e+00,-7.144407272338867188e+00,-1.079071998596191406e+01
-1.348479986190795898e+00,-3.806662559509277344e+00,-3.891820430755615234e+00,-4.644391059875488281e+00,-7.325807571411132812e+00,-1.085545444488525391e+01
-1.324399948120117188e+00,-4.060442924499511719e+00,-4.262680053710937500e+00,-4.653960227966308594e+00,-7.504391670227050781e+00,-1.090323638916015625e+01
-1.300320029258728027e+00,-3.988984107971191406e+00,-4.174387454986572266e+00,-4.779123306274414062e+00,-7.686621189117431641e+00,-1.096238803863525391e+01
-1.276239991188049316e+00,-4.394449234008789062e+00,-4.304065227508544922e+00,-4.882802009582519531e+00,-7.896552562713623047e+00,-1.101882553100585938e+01
-1.252159953117370605e+00,-4.290459632873535156e+00,-4.430816650390625000e+00,-5.003946304321289062e+00,-8.051022529602050781e+00,-1.106529331207275391e+01
-1.228080034255981445e+00,-4.521788597106933594e+00,-4.718498706817626953e+00,-5.123963832855224609e+00,-8.204125404357910156e+00,-1.112396335601806641e+01
-1.203999996185302734e+00,-4.595119953155517578e+00,-4.812184333801269531e+00,-5.337538242340087891e+00,-8.374477386474609375e+00,-1.117575931549072266e+01
-1.179919958114624023e+00,-4.653960227966308594e+00,-4.927253723144531250e+00,-5.429345607757568359e+00,-8.585226058959960938e+00,-1.122277355194091797e+01
-1.155839920043945312e+00,-4.836281776428222656e+00,-5.003946304321289062e+00,-5.634789466857910156e+00,-8.781555175781250000e+00,-1.127504920959472656e+01
-1.131760001182556152e+00,-5.049856185913085938e+00,-5.204006671905517578e+00,-5.786897182464599609e+00,-8.955835342407226562e+00,-1.132608985900878906e+01
-1.107679963111877441e+00,-5.257495403289794922e+00,-5.209486007690429688e+00,-5.958424568176269531e+00,-9.097507476806640625e+00,-1.137576484680175781e+01
-1.083600044250488281e+00,-5.303305149078369141e+00,-5.497168064117431641e+00,-6.118097305297851562e+00,-9.274253845214843750e+00,-1.142139148712158203e+01
-1.059520006179809570e+00,-5.347107410430908203e+00,-5.762051582336425781e+00,-6.272877216339111328e+00,-9.422463417053222656e+00,-1.146179008483886719e+01
-1.035439968109130859e+00,-5.697093486785888672e+00,-5.743003368377685547e+00,-6.385194301605224609e+00,-9.574983596801757812e+00,-1.150242042541503906e+01
-1.011359930038452148e+00,-5.743003368377685547e+00,-5.940171241760253906e+00,-6.565265178680419922e+00,-9.738789558410644531e+00,-1.154651546478271484e+01
-9.872800111770629883e-01,-5.866467952728271484e+00,-6.133398056030273438e+00,-6.752270221710205078e+00,-9.891465187072753906e+00,-1.158701229095458984e+01
