x,a,b,c,d,e
-1.649999976158142090e+00,7.666163921356201172e+00,7.663576126098632812e+00,7.655799388885498047e+00,7.624459266662597656e+00,7.495402336120605469e+00
-1.641729354858398438e+00,7.633403301239013672e+00,7.630804538726806641e+00,7.622990608215332031e+00,7.591502666473388672e+00,7.461812496185302734e+00
-1.633458614349365234e+00,7.600591659545898438e+00,7.597980022430419922e+00,7.590129375457763672e+00,7.558489322662353516e+00,7.428154945373535156e+00
-1.625187993049621582e+00,7.567727088928222656e+00,7.565102577209472656e+00,7.557214260101318359e+00,7.525418758392333984e+00,7.394429683685302734e+00
-1.616917252540588379e+00,7.534807205200195312e+00,7.532169818878173828e+00,7.524242401123046875e+00,7.492287635803222656e+00,7.360633850097656250e+00
-1.608646631240844727e+00,7.501830101013183594e+00,7.499180316925048828e+00,7.491212844848632812e+00,7.459095478057861328e+00,7.326767444610595703e+00
-1.600375890731811523e+00,7.468794345855712891e+00,7.466130733489990234e+00,7.458122730255126953e+00,7.425839424133300781e+00,7.292829036712646484e+00
-1.592105269432067871e+00,7.435698509216308594e+00,7.433021068572998047e+00,7.424971103668212891e+00,7.392518043518066406e+00,7.258816719055175781e+00
-1.583834528923034668e+00,7.402539730072021484e+00,7.399847984313964844e+00,7.391755104064941406e+00,7.359129905700683594e+00,7.224729537963867188e+00
-1.575563907623291016e+00,7.369317054748535156e+00,7.366610527038574219e+00,7.358474254608154297e+00,7.325673580169677734e+00,7.190567493438720703e+00
-1.567293167114257812e+00,7.336026668548583984e+00,7.333305835723876953e+00,7.325125694274902344e+00,7.292146205902099609e+00,7.156328201293945312e+00
-1.559022545814514160e+00,7.302668571472167969e+00,7.299932956695556641e+00,7.291707992553710938e+00,7.258546829223632812e+00,7.122011184692382812e+00
-1.550751805305480957e+00,7.269240379333496094e+00,7.266489505767822266e+00,7.258218288421630859e+00,7.224873542785644531e+00,7.087615013122558594e+00
-1.542481184005737305e+00,7.235740184783935547e+00,7.232974052429199219e+00,7.224656581878662109e+00,7.191125392913818359e+00,7.053140640258789062e+00
-1.534210562705993652e+00,7.202166557312011719e+00,7.199384212493896484e+00,7.191019535064697266e+00,7.157299995422363281e+00,7.018585681915283203e+00
-1.525939822196960449e+00,7.168516635894775391e+00,7.165718555450439453e+00,7.157306194305419922e+00,7.123395442962646484e+00,6.983949184417724609e+00
-1.517669200897216797e+00,7.134789943695068359e+00,7.131975650787353516e+00,7.123514652252197266e+00,7.089411735534667969e+00,6.949231624603271484e+00
-1.509398460388183594e+00,7.100983619689941406e+00,7.098152637481689453e+00,7.089643478393554688e+00,7.055346012115478516e+00,6.914431571960449219e+00
-1.501127839088439941e+00,7.067096710205078125e+00,7.064249992370605469e+00,7.055690765380859375e+00,7.021197795867919922e+00,6.879549980163574219e+00
-1.492857098579406738e+00,7.033127307891845703e+00,7.030263900756835938e+00,7.021654605865478516e+00,6.986964702606201172e+00,6.844583988189697266e+00
-1.484586477279663086e+00,6.999073982238769531e+00,6.996193885803222656e+00,6.987534523010253906e+00,6.952646732330322266e+00,6.809536457061767578e+00
-1.476315736770629883e+00,6.964935302734375000e+00,6.962038040161132812e+00,6.953328609466552734e+00,6.918241500854492188e+00,6.774404048919677734e+00
-1.468045115470886230e+00,6.930709838867187500e+00,6.927795886993408203e+00,6.919035434722900391e+00,6.883749485015869141e+00,6.739189147949218750e+00
-1.459774374961853027e+00,6.896396160125732422e+00,6.893465042114257812e+00,6.884654045104980469e+00,6.849168300628662109e+00,6.703889846801757812e+00
-1.451503753662109375e+00,6.861992835998535156e+00,6.859045028686523438e+00,6.850182533264160156e+00,6.814498424530029297e+00,6.668507575988769531e+00
-1.443233013153076172e+00,6.827498912811279297e+00,6.824532985687255859e+00,6.815620422363281250e+00,6.779737472534179688e+00,6.633041858673095703e+00
-1.434962391853332520e+00,6.792913436889648438e+00,6.789930820465087891e+00,6.780967235565185547e+00,6.744884967803955078e+00,6.597493648529052734e+00
-1.426691770553588867e+00,6.758234977722167969e+00,6.755235195159912109e+00,6.746221065521240234e+00,6.709941387176513672e+00,6.561862468719482422e+00
-1.418421030044555664e+00,6.723462581634521484e+00,6.720445156097412109e+00,6.711380958557128906e+00,6.674905776977539062e+00,6.526148796081542969e+00
-1.410150408744812012e+00,6.688595771789550781e+00,6.685562133789062500e+00,6.676446914672851562e+00,6.639777183532714844e+00,6.490354061126708984e+00
-1.401879668235778809e+00,6.653632640838623047e+00,6.650582790374755859e+00,6.641417980194091797e+00,6.604554653167724609e+00,6.454477787017822266e+00
-1.393609046936035156e+00,6.618575096130371094e+00,6.615508079528808594e+00,6.606293678283691406e+00,6.569240093231201172e+00,6.418521404266357422e+00
-1.385338306427001953e+00,6.583420276641845703e+00,6.580336570739746094e+00,6.571073532104492188e+00,6.533831596374511719e+00,6.382485866546630859e+00
-1.377067685127258301e+00,6.548169136047363281e+00,6.545069217681884766e+00,6.535757541656494141e+00,6.498330116271972656e+00,6.346371650695800781e+00
-1.368796944618225098e+00,6.512820243835449219e+00,6.509704589843750000e+00,6.500345230102539062e+00,6.462735176086425781e+00,6.310179233551025391e+00
-1.360526323318481445e+00,6.477375507354736328e+00,6.474243640899658203e+00,6.464837074279785156e+00,6.427047729492187500e+00,6.273911476135253906e+00
-1.352255582809448242e+00,6.441832542419433594e+00,6.438684940338134766e+00,6.429232597351074219e+00,6.391267299652099609e+00,6.237568378448486328e+00
-1.343984961509704590e+00,6.406192779541015625e+00,6.403030395507812500e+00,6.393532276153564453e+00,6.355395793914794922e+00,6.201151371002197266e+00
-1.335714221000671387e+00,6.370456218719482422e+00,6.367278575897216797e+00,6.357736587524414062e+00,6.319432258605957031e+00,6.164661407470703125e+00
-1.327443599700927734e+00,6.334623813629150391e+00,6.331430912017822266e+00,6.321846008300781250e+00,6.283379077911376953e+00,6.128100872039794922e+00
-1.319172978401184082e+00,6.298695087432861328e+00,6.295488834381103516e+00,6.285861015319824219e+00,6.247235298156738281e+00,6.091471195220947266e+00
-1.310902237892150879e+00,6.262670993804931641e+00,6.259450912475585938e+00,6.249782562255859375e+00,6.211002349853515625e+00,6.054772377014160156e+00
-1.302631616592407227e+00,6.226552963256835938e+00,6.223319530487060547e+00,6.213611125946044922e+00,6.174683094024658203e+00,6.018008708953857422e+00
-1.294360876083374023e+00,6.190340995788574219e+00,6.187094211578369141e+00,6.177348136901855469e+00,6.138277053833007812e+00,5.981179714202880859e+00
-1.286090254783630371e+00,6.154037475585937500e+00,6.150778293609619141e+00,6.140995025634765625e+00,6.101786136627197266e+00,5.944288253784179688e+00
-1.277819514274597168e+00,6.117641925811767578e+00,6.114370822906494141e+00,6.104552268981933594e+00,6.065211772918701172e+00,5.907336235046386719e+00
-1.269548892974853516e+00,6.081157207489013672e+00,6.077874183654785156e+00,6.068021297454833984e+00,6.028555393218994141e+00,5.870325565338134766e+00
-1.261278152465820312e+00,6.044583320617675781e+00,6.041289806365966797e+00,6.031404495239257812e+00,5.991818428039550781e+00,5.833257675170898438e+00
-1.253007531166076660e+00,6.007923603057861328e+00,6.004618644714355469e+00,5.994702816009521484e+00,5.955003738403320312e+00,5.796135902404785156e+00
-1.244736790657043457e+00,5.971177577972412109e+00,5.967863559722900391e+00,5.957917690277099609e+00,5.918112277984619141e+00,5.758960723876953125e+00
-1.236466169357299805e+00,5.934349536895751953e+00,5.931025028228759766e+00,5.921051979064941406e+00,5.881145954132080078e+00,5.721735477447509766e+00
-1.228195428848266602e+00,5.897439002990722656e+00,5.894106388092041016e+00,5.884107112884521484e+00,5.844107627868652344e+00,5.684461116790771484e+00
-1.219924807548522949e+00,5.860450267791748047e+00,5.857108592987060547e+00,5.847085475921630859e+00,5.806999206542968750e+00,5.647141456604003906e+00
-1.211654186248779297e+00,5.823383808135986328e+00,5.820035457611083984e+00,5.809988975524902344e+00,5.769822597503662109e+00,5.609777927398681641e+00
-1.203383445739746094e+00,5.786242485046386719e+00,5.782886505126953125e+00,5.772819995880126953e+00,5.732580661773681641e+00,5.572372436523437500e+00
-1.195112824440002441e+00,5.749029159545898438e+00,5.745666027069091797e+00,5.735580921173095703e+00,5.695275783538818359e+00,5.534927845001220703e+00
-1.186842083930969238e+00,5.711744785308837891e+00,5.708376407623291016e+00,5.698273658752441406e+00,5.657908916473388672e+00,5.497445583343505859e+00
-1.178571462631225586e+00,5.674393177032470703e+00,5.671020030975341797e+00,5.660902023315429688e+00,5.620485782623291016e+00,5.459928989410400391e+00
-1.170300722122192383e+00,5.636977195739746094e+00,5.633598327636718750e+00,5.623467445373535156e+00,5.583005905151367188e+00,5.422379970550537109e+00
-1.162030100822448730e+00,5.599499225616455078e+00,5.596116542816162109e+00,5.585973262786865234e+00,5.545474529266357422e+00,5.384800434112548828e+00
-1.153759360313415527e+00,5.561960697174072266e+00,5.558574676513671875e+00,5.548421859741210938e+00,5.507891178131103516e+00,5.347192287445068359e+00
-1.145488739013671875e+00,5.524366855621337891e+00,5.520977497100830078e+00,5.510816574096679688e+00,5.470262527465820312e+00,5.309559345245361328e+00
-1.137217998504638672e+00,5.486717700958251953e+00,5.483326911926269531e+00,5.473159790039062500e+00,5.432588100433349609e+00,5.271902084350585938e+00
-1.128947377204895020e+00,5.449019432067871094e+00,5.445626735687255859e+00,5.435455322265625000e+00,5.394873142242431641e+00,5.234223842620849609e+00
-1.120676755905151367e+00,5.411273002624511719e+00,5.407879352569580078e+00,5.397704601287841797e+00,5.357119083404541016e+00,5.196527004241943359e+00
-1.112406015396118164e+00,5.373481273651123047e+00,5.370086669921875000e+00,5.359911441802978516e+00,5.319328308105468750e+00,5.158811569213867188e+00
-1.104135394096374512e+00,5.335647583007812500e+00,5.332253932952880859e+00,5.322079181671142578e+00,5.281504631042480469e+00,5.121081829071044922e+00
-1.095864653587341309e+00,5.297775268554687500e+00,5.294382095336914062e+00,5.284209728240966797e+00,5.243650436401367188e+00,5.083338737487792969e+00
-1.087594032287597656e+00,5.259868621826171875e+00,5.256475925445556641e+00,5.246307849884033203e+00,5.205770015716552734e+00,5.045584678649902344e+00
-1.079323291778564453e+00,5.221928119659423828e+00,5.218537330627441406e+00,5.208374977111816406e+00,5.167864322662353516e+00,5.007821083068847656e+00
-1.071052670478820801e+00,5.183958530426025391e+00,5.180570125579833984e+00,5.170414924621582031e+00,5.129938125610351562e+00,4.970050334930419922e+00
-1.062781929969787598e+00,5.145962715148925781e+00,5.142576694488525391e+00,5.132430076599121094e+00,5.091992378234863281e+00,4.932272911071777344e+00
