x,a,b,c,d,e
-1.492959976196289062e+00,-9.230731010437011719e+00,-9.373648643493652344e+00,-9.879143714904785156e+00,-1.110495758056640625e+01,-1.118134689331054688e+01
-1.468879938125610352e+00,-9.295967102050781250e+00,-9.396903038024902344e+00,-9.936583518981933594e+00,-1.112896728515625000e+01,-1.119003105163574219e+01
-1.444800019264221191e+00,-9.326611518859863281e+00,-9.431562423706054688e+00,-9.994744300842285156e+00,-1.117106914520263672e+01,-1.119662475585937500e+01
-1.420719981193542480e+00,-9.365804672241210938e+00,-9.480291366577148438e+00,-1.007234382629394531e+01,-1.119229316711425781e+01,-1.120797538757324219e+01
-1.396640062332153320e+00,-9.410420417785644531e+00,-9.537195205688476562e+00,-1.013356685638427734e+01,-1.122932815551757812e+01,-1.121509838104248047e+01
-1.372560024261474609e+00,-9.449121475219726562e+00,-9.578380584716796875e+00,-1.018595600128173828e+01,-1.125568199157714844e+01,-1.122008323669433594e+01
-1.348479986190795898e+00,-9.498222351074218750e+00,-9.617470741271972656e+00,-1.026674079895019531e+01,-1.128070354461669922e+01,-1.122859764099121094e+01
-1.324399948120117188e+00,-9.509110450744628906e+00,-9.645946502685546875e+00,-1.032594108581542969e+01,-1.131324195861816406e+01,-1.123556327819824219e+01
-1.300320029258728027e+00,-9.580109596252441406e+00,-9.719324111938476562e+00,-1.038024997711181641e+01,-1.134074783325195312e+01,-1.124211406707763672e+01
-1.276239991188049316e+00,-9.615738868713378906e+00,-9.760367393493652344e+00,-1.043655395507812500e+01,-1.136910152435302734e+01,-1.125165176391601562e+01
-1.252159953117370605e+00,-9.674137115478515625e+00,-9.787852287292480469e+00,-1.050309276580810547e+01,-1.138994407653808594e+01,-1.125698757171630859e+01
-1.228080034255981445e+00,-9.722085952758789062e+00,-9.854192733764648438e+00,-1.057246971130371094e+01,-1.141940593719482422e+01,-1.126928615570068359e+01
-1.203999996185302734e+00,-9.742027282714843750e+00,-9.888069152832031250e+00,-1.064922714233398438e+01,-1.144204139709472656e+01,-1.127040767669677734e+01
-1.179919958114624023e+00,-9.807967185974121094e+00,-9.949463844299316406e+00,-1.071481800079345703e+01,-1.146662998199462891e+01,-1.128012275695800781e+01
-1.155839920043945312e+00,-9.842887878417968750e+00,-9.989114761352539062e+00,-1.077337837219238281e+01,-1.149634933471679688e+01,-1.128730392456054688e+01
-1.131760001182556152e+00,-9.884610176086425781e+00,-1.004168319702148438e+01,-1.083547401428222656e+01,-1.151621055603027344e+01,-1.128542232513427734e+01
-1.107679963111877441e+00,-9.940687179565429688e+00,-1.009946537017822266e+01,-1.090835666656494141e+01,-1.154568290710449219e+01,-1.130684757232666016e+01
-1.083600044250488281e+00,-9.982344627380371094e+00,-1.013539218902587891e+01,-1.096788787841796875e+01,-1.156322860717773438e+01,-1.130859184265136719e+01
-1.059520006179809570e+00,-1.003526115417480469e+01,-1.020588588714599609e+01,-1.103403472900390625e+01,-1.159176445007324219e+01,-1.130902099609375000e+01
-1.035439968109130859e+00,-1.007179450988769531e+01,-1.025375747680664062e+01,-1.109599971771240234e+01,-1.160995197296142578e+01,-1.131989860534667969e+01
-1.011359930038452148e+00,-1.013157844543457031e+01,-1.031311035156250000e+01,-1.115963077545166016e+01,-1.163104629516601562e+01,-1.131823539733886719e+01
-9.872800111770629883e-01,-1.017481136322021484e+01,-1.035570907592773438e+01,-1.123166275024414062e+01,-1.165256595611572266e+01,-1.133298492431640625e+01
-9.631999731063842773e-01,-1.022915172576904297e+01,-1.041744804382324219e+01,-1.129345035552978516e+01,-1.167306137084960938e+01,-1.133439636230468750e+01
-9.391199350357055664e-01,-1.025878143310546875e+01,-1.047229003906250000e+01,-1.135542964935302734e+01,-1.169362926483154297e+01,-1.134024906158447266e+01
-9.150400161743164062e-01,-1.031370830535888672e+01,-1.052798080444335938e+01,-1.141067123413085938e+01,-1.171504974365234375e+01,-1.134944152832031250e+01
-8.909599781036376953e-01,-1.036514377593994141e+01,-1.060604000091552734e+01,-1.146886920928955078e+01,-1.173454761505126953e+01,-1.134470844268798828e+01
-8.668799400329589844e-01,-1.042540168762207031e+01,-1.066807174682617188e+01,-1.152788352966308594e+01,-1.174868488311767578e+01,-1.136177730560302734e+01
-8.428000211715698242e-01,-1.047731590270996094e+01,-1.073415470123291016e+01,-1.159293746948242188e+01,-1.177001476287841797e+01,-1.136418151855468750e+01
-8.187199831008911133e-01,-1.053932380676269531e+01,-1.080940437316894531e+01,-1.164211845397949219e+01,-1.178610038757324219e+01,-1.136895084381103516e+01
-7.946399450302124023e-01,-1.059730911254882812e+01,-1.087902832031250000e+01,-1.170625305175781250e+01,-1.180748844146728516e+01,-1.137595939636230469e+01
-7.705599665641784668e-01,-1.064853954315185547e+01,-1.095537471771240234e+01,-1.175327205657958984e+01,-1.182368469238281250e+01,-1.137636089324951172e+01
-7.464799880981445312e-01,-1.069357967376708984e+01,-1.102994155883789062e+01,-1.180555057525634766e+01,-1.183915233612060547e+01,-1.137823867797851562e+01
-7.223999500274658203e-01,-1.074849700927734375e+01,-1.111746501922607422e+01,-1.186469459533691406e+01,-1.185563564300537109e+01,-1.138617134094238281e+01
-6.983199715614318848e-01,-1.081434345245361328e+01,-1.120052719116210938e+01,-1.191436958312988281e+01,-1.187238883972167969e+01,-1.139123249053955078e+01
-6.742399930953979492e-01,-1.087256050109863281e+01,-1.128348731994628906e+01,-1.195903301239013672e+01,-1.189029979705810547e+01,-1.139089298248291016e+01
-6.501599550247192383e-01,-1.092934989929199219e+01,-1.136956310272216797e+01,-1.201194763183593750e+01,-1.189450740814208984e+01,-1.139372539520263672e+01
-6.260799169540405273e-01,-1.098441123962402344e+01,-1.146861839294433594e+01,-1.205939197540283203e+01,-1.191160774230957031e+01,-1.140199375152587891e+01
-6.019999980926513672e-01,-1.104874515533447266e+01,-1.155353927612304688e+01,-1.210653400421142578e+01,-1.192776679992675781e+01,-1.139690876007080078e+01
-5.779199600219726562e-01,-1.111176109313964844e+01,-1.165181732177734375e+01,-1.215065002441406250e+01,-1.194666671752929688e+01,-1.140445995330810547e+01
-5.538399219512939453e-01,-1.118303203582763672e+01,-1.174934101104736328e+01,-1.219153213500976562e+01,-1.195465183258056641e+01,-1.141209888458251953e+01
-5.297600030899047852e-01,-1.124885559082031250e+01,-1.184813308715820312e+01,-1.223504924774169922e+01,-1.196971130371093750e+01,-1.141512489318847656e+01
-5.056799650192260742e-01,-1.131603431701660156e+01,-1.194633007049560547e+01,-1.227180385589599609e+01,-1.197597980499267578e+01,-1.141402149200439453e+01
-4.815999567508697510e-01,-1.138250923156738281e+01,-1.204248237609863281e+01,-1.230939197540283203e+01,-1.198490238189697266e+01,-1.142416000366210938e+01
-4.575199484825134277e-01,-1.145220947265625000e+01,-1.214125633239746094e+01,-1.234299564361572266e+01,-1.199594402313232422e+01,-1.141907596588134766e+01
-4.334399700164794922e-01,-1.152680873870849609e+01,-1.223516559600830078e+01,-1.237612342834472656e+01,-1.200341796875000000e+01,-1.143105316162109375e+01
-4.093599617481231689e-01,-1.160700798034667969e+01,-1.232893180847167969e+01,-1.240828704833984375e+01,-1.201765632629394531e+01,-1.143020629882812500e+01
-3.852799534797668457e-01,-1.168636608123779297e+01,-1.242150688171386719e+01,-1.244106960296630859e+01,-1.202303886413574219e+01,-1.143580722808837891e+01
-3.611999750137329102e-01,-1.177118110656738281e+01,-1.251018047332763672e+01,-1.246915245056152344e+01,-1.202986049652099609e+01,-1.143304824829101562e+01
-3.371199369430541992e-01,-1.185972309112548828e+01,-1.259273242950439453e+01,-1.249666595458984375e+01,-1.203705024719238281e+01,-1.143367671966552734e+01
-3.130399584770202637e-01,-1.195488929748535156e+01,-1.267125892639160156e+01,-1.252370834350585938e+01,-1.204404735565185547e+01,-1.143379592895507812e+01
-2.889599502086639404e-01,-1.205246639251708984e+01,-1.274988746643066406e+01,-1.254645156860351562e+01,-1.205150985717773438e+01,-1.144037628173828125e+01
-2.648799419403076172e-01,-1.216456317901611328e+01,-1.282140731811523438e+01,-1.256458282470703125e+01,-1.205721282958984375e+01,-1.143770599365234375e+01
-2.407999485731124878e-01,-1.228213024139404297e+01,-1.288497638702392578e+01,-1.258895778656005859e+01,-1.206660366058349609e+01,-1.144558811187744141e+01
-2.167199552059173584e-01,-1.241040039062500000e+01,-1.294338512420654297e+01,-1.260231494903564453e+01,-1.207238101959228516e+01,-1.144276046752929688e+01
-1.926399469375610352e-01,-1.254964065551757812e+01,-1.299853134155273438e+01,-1.262116146087646484e+01,-1.207680606842041016e+01,-1.144775772094726562e+01
-1.685599535703659058e-01,-1.269899559020996094e+01,-1.304919719696044922e+01,-1.263648033142089844e+01,-1.207834148406982422e+01,-1.144573783874511719e+01
-1.444799453020095825e-01,-1.286201858520507812e+01,-1.309136962890625000e+01,-1.264475345611572266e+01,-1.208156299591064453e+01,-1.144554519653320312e+01
-1.203999444842338562e-01,-1.303775310516357422e+01,-1.312787246704101562e+01,-1.265781021118164062e+01,-1.208279705047607422e+01,-1.144665718078613281e+01
-9.631994366645812988e-02,-1.324017524719238281e+01,-1.315903663635253906e+01,-1.266669845581054688e+01,-1.208572292327880859e+01,-1.144819450378417969e+01
-7.223995029926300049e-02,-1.348681640625000000e+01,-1.318106651306152344e+01,-1.267242622375488281e+01,-1.209006690979003906e+01,-1.144951725006103516e+01
-4.815994575619697571e-02,-1.380620098114013672e+01,-1.319683265686035156e+01,-1.267815208435058594e+01,-1.208916759490966797e+01,-1.144785308837890625e+01
-2.407994493842124939e-02,-1.429088020324707031e+01,-1.320614337921142578e+01,-1.268352031707763672e+01,-1.209120082855224609e+01,-1.145130538940429688e+01
