x,a,b,c,d,e
-1.649999976158142090e+00,-1.949474692344665527e+00,-1.961161136627197266e+00,-2.620599985122680664e+00,-9.196664094924926758e-01,-2.420619875192642212e-01
-1.641729354858398438e+00,-1.946950197219848633e+00,-1.961511135101318359e+00,-2.618970870971679688e+00,-9.151790738105773926e-01,-2.408495843410491943e-01
-1.633458614349365234e+00,-1.944453239440917969e+00,-1.961967587471008301e+00,-2.617148876190185547e+00,-9.106894731521606445e-01,-2.396371364593505859e-01
-1.625187993049621582e+00,-1.941985130310058594e+00,-1.962533116340637207e+00,-2.615135192871093750e+00,-9.061978459358215332e-01,-2.384246736764907837e-01
-1.616917252540588379e+00,-1.939547657966613770e+00,-1.963211417198181152e+00,-2.612929105758666992e+00,-9.017043113708496094e-01,-2.372122555971145630e-01
-1.608646631240844727e+00,-1.937142252922058105e+00,-1.964007854461669922e+00,-2.610530138015747070e+00,-8.972085714340209961e-01,-2.359997928142547607e-01
-1.600375890731811523e+00,-1.934770941734313965e+00,-1.964925885200500488e+00,-2.607938528060913086e+00,-8.927108049392700195e-01,-2.347873002290725708e-01
-1.592105269432067871e+00,-1.932435274124145508e+00,-1.965970277786254883e+00,-2.605154514312744141e+00,-8.882112503051757812e-01,-2.335748076438903809e-01
-1.583834528923034668e+00,-1.930136680603027344e+00,-1.967145919799804688e+00,-2.602178096771240234e+00,-8.837094902992248535e-01,-2.323622703552246094e-01
-1.575563907623291016e+00,-1.927877545356750488e+00,-1.968458175659179688e+00,-2.599009990692138672e+00,-8.792059421539306641e-01,-2.311497479677200317e-01
-1.567293167114257812e+00,-1.925659775733947754e+00,-1.969911575317382812e+00,-2.595649242401123047e+00,-8.747002482414245605e-01,-2.299371808767318726e-01
-1.559022545814514160e+00,-1.923484921455383301e+00,-1.971513032913208008e+00,-2.592097520828247070e+00,-8.701927661895751953e-01,-2.287246584892272949e-01
-1.550751805305480957e+00,-1.921355485916137695e+00,-1.973266124725341797e+00,-2.588354587554931641e+00,-8.656831979751586914e-01,-2.275120913982391357e-01
-1.542481184005737305e+00,-1.919273614883422852e+00,-1.975179314613342285e+00,-2.584421396255493164e+00,-8.611720800399780273e-01,-2.262994796037673950e-01
-1.534210562705993652e+00,-1.917240381240844727e+00,-1.977257728576660156e+00,-2.580298662185668945e+00,-8.566588759422302246e-01,-2.250869125127792358e-01
-1.525939822196960449e+00,-1.915259003639221191e+00,-1.979508399963378906e+00,-2.575986862182617188e+00,-8.521435856819152832e-01,-2.238742858171463013e-01
-1.517669200897216797e+00,-1.913331389427185059e+00,-1.981938481330871582e+00,-2.571485996246337891e+00,-8.476267457008361816e-01,-2.226616740226745605e-01
-1.509398460388183594e+00,-1.911459684371948242e+00,-1.984555721282958984e+00,-2.566798448562622070e+00,-8.431079983711242676e-01,-2.214490473270416260e-01
-1.501127839088439941e+00,-1.909646034240722656e+00,-1.987367868423461914e+00,-2.561923980712890625e+00,-8.385872244834899902e-01,-2.202363908290863037e-01
-1.492857098579406738e+00,-1.907893180847167969e+00,-1.990382432937622070e+00,-2.556863784790039062e+00,-8.340649008750915527e-01,-2.190237194299697876e-01
-1.484586477279663086e+00,-1.906203746795654297e+00,-1.993609189987182617e+00,-2.551618814468383789e+00,-8.295406103134155273e-01,-2.178110480308532715e-01
-1.476315736770629883e+00,-1.904578924179077148e+00,-1.997056126594543457e+00,-2.546190261840820312e+00,-8.250144720077514648e-01,-2.165983617305755615e-01
-1.468045115470886230e+00,-1.903022170066833496e+00,-2.000733137130737305e+00,-2.540579319000244141e+00,-8.204869031906127930e-01,-2.153857052326202393e-01
-1.459774374961853027e+00,-1.901535511016845703e+00,-2.004650115966796875e+00,-2.534786701202392578e+00,-8.159573078155517578e-01,-2.141730040311813354e-01
-1.451503753662109375e+00,-1.900122165679931641e+00,-2.008817672729492188e+00,-2.528813362121582031e+00,-8.114260435104370117e-01,-2.129602432250976562e-01
-1.443233013153076172e+00,-1.898783922195434570e+00,-2.013246059417724609e+00,-2.522661924362182617e+00,-8.068930506706237793e-01,-2.117475122213363647e-01
-1.434962391853332520e+00,-1.897523403167724609e+00,-2.017946958541870117e+00,-2.516332626342773438e+00,-8.023583292961120605e-01,-2.105347663164138794e-01
-1.426691770553588867e+00,-1.896343827247619629e+00,-2.022931575775146484e+00,-2.509826898574829102e+00,-7.978219985961914062e-01,-2.093220353126525879e-01
-1.418421030044555664e+00,-1.895246744155883789e+00,-2.028212785720825195e+00,-2.503146171569824219e+00,-7.932839393615722656e-01,-2.081092298030853271e-01
-1.410150408744812012e+00,-1.894235610961914062e+00,-2.033802986145019531e+00,-2.496291637420654297e+00,-7.887442111968994141e-01,-2.068964540958404541e-01
-1.401879668235778809e+00,-1.893312573432922363e+00,-2.039716005325317383e+00,-2.489265441894531250e+00,-7.842027544975280762e-01,-2.056836783885955811e-01
-1.393609046936035156e+00,-1.892481088638305664e+00,-2.045964241027832031e+00,-2.482068538665771484e+00,-7.796598076820373535e-01,-2.044708281755447388e-01
-1.385338306427001953e+00,-1.891742110252380371e+00,-2.052563667297363281e+00,-2.474702119827270508e+00,-7.751151919364929199e-01,-2.032580226659774780e-01
-1.377067685127258301e+00,-1.891099929809570312e+00,-2.059527873992919922e+00,-2.467168807983398438e+00,-7.705689072608947754e-01,-2.020452022552490234e-01
-1.368796944618225098e+00,-1.890556335449218750e+00,-2.066872119903564453e+00,-2.459468841552734375e+00,-7.660211324691772461e-01,-2.008323669433593750e-01
-1.360526323318481445e+00,-1.890113592147827148e+00,-2.074612379074096680e+00,-2.451604843139648438e+00,-7.614716887474060059e-01,-1.996195018291473389e-01
-1.352255582809448242e+00,-1.889775156974792480e+00,-2.082764625549316406e+00,-2.443577527999877930e+00,-7.569206953048706055e-01,-1.984066218137741089e-01
-1.343984961509704590e+00,-1.889542937278747559e+00,-2.091345548629760742e+00,-2.435389518737792969e+00,-7.523682117462158203e-01,-1.971937566995620728e-01
-1.335714221000671387e+00,-1.889419794082641602e+00,-2.100372314453125000e+00,-2.427041530609130859e+00,-7.478141188621520996e-01,-1.959808617830276489e-01
-1.327443599700927734e+00,-1.889407515525817871e+00,-2.109861612319946289e+00,-2.418535947799682617e+00,-7.432586550712585449e-01,-1.947679519653320312e-01
