x,a,b,c,d,e
-5.500000119209289551e-01,-7.689391479492187500e+02,-4.153302917480468750e+02,-1.796606292724609375e+02,-6.042715454101562500e+01,-1.854339408874511719e+01
-5.472431182861328125e-01,-7.266057739257812500e+02,-3.928573303222656250e+02,-1.706595916748046875e+02,-5.785286712646484375e+01,-1.785739898681640625e+01
-5.444862246513366699e-01,-6.842954711914062500e+02,-3.704527587890625000e+02,-1.617128448486328125e+02,-5.529195785522460938e+01,-1.717360496520996094e+01
-5.417293310165405273e-01,-6.420175170898437500e+02,-3.481307067871093750e+02,-1.528263549804687500e+02,-5.274506378173828125e+01,-1.649212646484375000e+01
-5.389724373817443848e-01,-5.997851562500000000e+02,-3.259081115722656250e+02,-1.440067138671875000e+02,-5.021284103393554688e+01,-1.581315040588378906e+01
-5.362155437469482422e-01,-5.576169433593750000e+02,-3.038056030273437500e+02,-1.352613525390625000e+02,-4.769599533081054688e+01,-1.513683414459228516e+01
-5.334586501121520996e-01,-5.155385742187500000e+02,-2.818479614257812500e+02,-1.265985260009765625e+02,-4.519525527954101562e+01,-1.446337127685546875e+01
-5.307017564773559570e-01,-4.735865478515625000e+02,-2.600652465820312500e+02,-1.180276412963867188e+02,-4.271134567260742188e+01,-1.379296302795410156e+01
-5.279448628425598145e-01,-4.318115234375000000e+02,-2.384939270019531250e+02,-1.095590133666992188e+02,-4.024502182006835938e+01,-1.312583160400390625e+01
-5.251879692077636719e-01,-3.902842712402343750e+02,-2.171779785156250000e+02,-1.012042922973632812e+02,-3.779710769653320312e+01,-1.246222782135009766e+01
-5.224310755729675293e-01,-3.491027832031250000e+02,-1.961706848144531250e+02,-9.297637176513671875e+01,-3.536836624145507812e+01,-1.180239963531494141e+01
-5.196741819381713867e-01,-3.084027099609375000e+02,-1.755361785888671875e+02,-8.488959503173828125e+01,-3.295962905883789062e+01,-1.114665412902832031e+01
-5.169172883033752441e-01,-2.683692016601562500e+02,-1.553514862060546875e+02,-7.695975494384765625e+01,-3.057173347473144531e+01,-1.049529647827148438e+01
-5.141603946685791016e-01,-2.292529144287109375e+02,-1.357084197998046875e+02,-6.920421600341796875e+01,-2.820548248291015625e+01,-9.848670959472656250e+00
-5.114035010337829590e-01,-1.913868865966796875e+02,-1.167155990600585938e+02,-6.164173507690429688e+01,-2.586174392700195312e+01,-9.207158088684082031e+00
-5.086466073989868164e-01,-1.552026062011718750e+02,-9.849906158447265625e+01,-5.429261779785156250e+01,-2.354136085510253906e+01,-8.571161270141601562e+00
-5.058897137641906738e-01,-1.212393264770507812e+02,-8.120245361328125000e+01,-4.717834854125976562e+01,-2.124516296386718750e+01,-7.941121101379394531e+00
-5.031328201293945312e-01,-9.013376617431640625e+01,-6.498413085937500000e+01,-4.032133865356445312e+01,-1.897399330139160156e+01,-7.317532062530517578e+00
-5.003759264945983887e-01,-6.257502365112304688e+01,-5.001065063476562500e+01,-3.374443817138671875e+01,-1.672866058349609375e+01,-6.700907230377197266e+00
-4.976190626621246338e-01,-3.920674133300781250e+01,-3.644546890258789062e+01,-2.747032165527343750e+01,-1.451000308990478516e+01,-6.091825485229492188e+00
-4.948621690273284912e-01,-2.047265625000000000e+01,-2.443112564086914062e+01,-2.152033996582031250e+01,-1.231877803802490234e+01,-5.490890502929687500e+00
-4.921052753925323486e-01,-6.444927692413330078e+00,-1.406797409057617188e+01,-1.591383743286132812e+01,-1.015579223632812500e+01,-4.898779869079589844e+00
-4.893483817577362061e-01,3.284770250320434570e+00,-5.390105724334716797e+00,-1.066660499572753906e+01,-8.021822929382324219e+00,-4.316216468811035156e+00
-4.865914881229400635e-01,9.554422378540039062e+00,1.653003096580505371e+00,-5.789540290832519531e+00,-5.917652606964111328e+00,-3.743978738784790039e+00
-4.838345944881439209e-01,1.341095829010009766e+01,7.202499866485595703e+00,-1.287256240844726562e+00,-3.844100713729858398e+00,-3.182910680770874023e+00
-4.810777008533477783e-01,1.583244705200195312e+01,1.147822952270507812e+01,2.843173027038574219e+00,-1.802014231681823730e+00,-2.633914709091186523e+00
-4.783208072185516357e-01,1.754379844665527344e+01,1.474961948394775391e+01,6.613163471221923828e+00,2.076670080423355103e-01,-2.097960948944091797e+00
-4.755639135837554932e-01,1.898523330688476562e+01,1.729749107360839844e+01,1.004305267333984375e+01,2.183873176574707031e+00,-1.576088309288024902e+00
-4.728070199489593506e-01,2.038234138488769531e+01,1.937861061096191406e+01,1.316187667846679688e+01,4.125329017639160156e+00,-1.069402694702148438e+00
-4.700501263141632080e-01,2.183733749389648438e+01,2.120276069641113281e+01,1.600652313232421875e+01,6.030466556549072266e+00,-5.790821909904479980e-01
-4.672932326793670654e-01,2.339588928222656250e+01,2.292566108703613281e+01,1.862009048461914062e+01,7.897301197052001953e+00,-1.063708513975143433e-01
-4.645363390445709229e-01,2.508287620544433594e+01,2.465449523925781250e+01,2.104989814758300781e+01,9.723285675048828125e+00,3.474184572696685791e-01
-4.617794752120971680e-01,2.691806793212890625e+01,2.645993804931640625e+01,2.334507179260253906e+01,1.150506496429443359e+01,7.809053063392639160e-01
-4.590225815773010254e-01,2.892218971252441406e+01,2.838925552368164062e+01,2.555430221557617188e+01,1.323835086822509766e+01,1.192664146423339844e+00
-4.562656879425048828e-01,3.111915206909179688e+01,3.047687721252441406e+01,2.772360992431640625e+01,1.491744422912597656e+01,1.581203103065490723e+00
-4.535087943077087402e-01,3.353725051879882812e+01,3.275188827514648438e+01,2.989459991455078125e+01,1.653496932983398438e+01,1.944996476173400879e+00
-4.507519006729125977e-01,3.621056365966796875e+01,3.524267578125000000e+01,3.210313415527343750e+01,1.808137512207031250e+01,2.282485723495483398e+00
-4.479950070381164551e-01,3.918018722534179688e+01,3.797943115234375000e+01,3.437803268432617188e+01,1.954439544677734375e+01,2.592103719711303711e+00
-4.452381134033203125e-01,4.249581527709960938e+01,4.099561309814453125e+01,3.673979568481445312e+01,2.090842247009277344e+01,2.872285127639770508e+00
-4.424812197685241699e-01,4.621781921386718750e+01,4.432817459106445312e+01,3.919873428344726562e+01,2.215383911132812500e+01,3.121497631072998047e+00
-4.397243261337280273e-01,5.041904067993164062e+01,4.801707077026367188e+01,4.175183105468750000e+01,2.325627136230468750e+01,3.338263273239135742e+00
-4.369674324989318848e-01,5.518656539916992188e+01,5.210311126708984375e+01,4.437744522094726562e+01,2.418595314025878906e+01,3.521181583404541016e+00
-4.342105388641357422e-01,6.062265777587890625e+01,5.662286376953125000e+01,4.702677917480468750e+01,2.490720176696777344e+01,3.668993234634399414e+00
-4.314536452293395996e-01,6.684326934814453125e+01,6.159775924682617188e+01,4.961027145385742188e+01,2.537827491760253906e+01,3.780566215515136719e+00
-4.286967515945434570e-01,7.397029113769531250e+01,6.701087188720703125e+01,5.197713088989257812e+01,2.555193710327148438e+01,3.854986906051635742e+00
-4.259398579597473145e-01,8.210867309570312500e+01,7.275848388671875000e+01,5.388631439208984375e+01,2.537689399719238281e+01,3.891569137573242188e+00
-4.231829643249511719e-01,9.128106689453125000e+01,7.855033874511718750e+01,5.497016906738281250e+01,2.480072784423828125e+01,3.889907836914062500e+00
-4.204260706901550293e-01,1.012491760253906250e+02,8.371128845214843750e+01,5.469897842407226562e+01,2.377464294433593750e+01,3.849912643432617188e+00
-4.176691770553588867e-01,1.110359344482421875e+02,8.681734466552734375e+01,5.237298965454101562e+01,2.226000976562500000e+01,3.771858930587768555e+00
-4.149122834205627441e-01,1.177160415649414062e+02,8.515560150146484375e+01,4.719646835327148438e+01,2.023667716979980469e+01,3.656407117843627930e+00
-4.121553897857666016e-01,1.138902664184570312e+02,7.440150451660156250e+01,3.851010894775390625e+01,1.771176147460937500e+01,3.504635095596313477e+00
-4.093984961509704590e-01,8.551158905029296875e+01,5.004441070556640625e+01,2.620596504211425781e+01,1.472716236114501953e+01,3.318066835403442383e+00
-4.066416025161743164e-01,2.211697578430175781e+01,1.246750164031982422e+01,1.115114688873291016e+01,1.136352348327636719e+01,3.098653316497802734e+00
-4.038847088813781738e-01,-5.431520843505859375e+01,-2.848859405517578125e+01,-4.785253524780273438e+00,7.737952709197998047e+00,2.848804235458374023e+00
-4.011278450489044189e-01,-1.037409591674804688e+02,-5.980253219604492188e+01,-1.936012649536132812e+01,3.994927644729614258e+00,2.571338891983032227e+00
-3.983709514141082764e-01,-1.189477233886718750e+02,-7.630129241943359375e+01,-3.087422943115234375e+01,2.908589243888854980e-01,2.269469738006591797e+00
-3.956140577793121338e-01,-1.147231140136718750e+02,-8.088117218017578125e+01,-3.867791366577148438e+01,-3.223773002624511719e+00,1.946755766868591309e+00
-3.928571641445159912e-01,-1.030184707641601562e+02,-7.846549987792968750e+01,-4.303314590454101562e+01,-6.421326637268066406e+00,1.607044935226440430e+00
-3.901002705097198486e-01,-8.958821868896484375e+01,-7.273979187011718750e+01,-4.466380691528320312e+01,-9.208546638488769531e+00,1.254401445388793945e+00
-3.873433768749237061e-01,-7.682888031005859375e+01,-6.583511352539062500e+01,-4.437015533447265625e+01,-1.153120708465576172e+01,8.930307626724243164e-01
-3.845864832401275635e-01,-6.565744781494140625e+01,-5.884473037719726562e+01,-4.283201980590820312e+01,-1.337218856811523438e+01,5.271878242492675781e-01
-3.818295896053314209e-01,-5.630369949340820312e+01,-5.228229141235351562e+01,-4.055562973022460938e+01,-1.474493026733398438e+01,1.611078083515167236e-01
-3.790726959705352783e-01,-4.864702224731445312e+01,-4.635528945922851562e+01,-3.788995742797851562e+01,-1.568478775024414062e+01,-2.010944336652755737e-01
-3.763158023357391357e-01,-4.240743255615234375e+01,-4.111153030395507812e+01,-3.506332397460937500e+01,-1.624036788940429688e+01,-5.555066466331481934e-01
-3.735589087009429932e-01,-3.727538681030273438e+01,-3.651672744750976562e+01,-3.221887207031250000e+01,-1.646625137329101562e+01,-8.984704613685607910e-01
-3.708020150661468506e-01,-3.298473358154296875e+01,-3.249757003784179688e+01,-2.944235801696777344e+01,-1.641755104064941406e+01,-1.226663708686828613e+00
-3.680451214313507080e-01,-2.933104324340820312e+01,-2.896660614013671875e+01,-2.678189086914062500e+01,-1.614633178710937500e+01,-1.537145853042602539e+00
-3.652882277965545654e-01,-2.615782165527343750e+01,-2.583700752258300781e+01,-2.426152610778808594e+01,-1.569964981079101562e+01,-1.827379822731018066e+00
-3.625313341617584229e-01,-2.333948326110839844e+01,-2.303070068359375000e+01,-2.189037895202636719e+01,-1.511861038208007812e+01,-2.095274925231933594e+00
-3.597744405269622803e-01,-2.077636528015136719e+01,-2.048252487182617188e+01,-1.966879081726074219e+01,-1.443835830688476562e+01,-2.339177846908569336e+00
-3.570175468921661377e-01,-1.839832115173339844e+01,-1.814147949218750000e+01,-1.759229469299316406e+01,-1.368834590911865234e+01,-2.557871818542480469e+00
-3.542606532573699951e-01,-1.616554450988769531e+01,-1.597022533416748047e+01,-1.565435409545898438e+01,-1.289294624328613281e+01,-2.750569581985473633e+00
-3.515037596225738525e-01,-1.406029510498046875e+01,-1.394374752044677734e+01,-1.384803771972656250e+01,-1.207209682464599609e+01,-2.916876792907714844e+00
-3.487468659877777100e-01,-1.207408237457275391e+01,-1.204737854003906250e+01,-1.216704940795898438e+01,-1.124199485778808594e+01,-3.056769609451293945e+00
-3.459899723529815674e-01,-1.020086574554443359e+01,-1.027482986450195312e+01,-1.060627937316894531e+01,-1.041565799713134766e+01,-3.170549631118774414e+00
-3.432331085205078125e-01,-8.439651489257812500e+00,-8.626067161560058594e+00,-9.161995887756347656e+00,-9.603470802307128906e+00,-3.258808374404907227e+00
-3.404762148857116699e-01,-6.801218032836914062e+00,-7.105089664459228516e+00,-7.831739902496337891e+00,-8.813636779785156250e+00,-3.322386980056762695e+00
-3.377193212509155273e-01,-5.308865070343017578e+00,-5.717815876007080078e+00,-6.614223003387451172e+00,-8.052541732788085938e+00,-3.362330198287963867e+00
-3.349624276161193848e-01,-3.988231420516967773e+00,-4.469863414764404297e+00,-5.508924961090087891e+00,-7.325079917907714844e+00,-3.379843711853027344e+00
-3.322055339813232422e-01,-2.852241039276123047e+00,-3.364961147308349609e+00,-4.515774250030517578e+00,-6.634855747222900391e+00,-3.376265048980712891e+00
-3.294486403465270996e-01,-1.893358945846557617e+00,-2.404194593429565430e+00,-3.634768962860107422e+00,-5.984399795532226562e+00,-3.353024005889892578e+00
-3.266917467117309570e-01,-1.089904665946960449e+00,-1.586249589920043945e+00,-2.865589618682861328e+00,-5.375316143035888672e+00,-3.311613082885742188e+00
-3.239348530769348145e-01,-4.209681749343872070e-01,-9.083455204963684082e-01,-2.207265377044677734e+00,-4.808385848999023438e+00,-3.253551483154296875e+00
-3.211779594421386719e-01,1.218852624297142029e-01,-3.671080768108367920e-01,-1.657851815223693848e+00,-4.283681392669677734e+00,-3.180374622344970703e+00
-3.184210658073425293e-01,5.340132713317871094e-01,4.095418378710746765e-02,-1.214142799377441406e+00,-3.800637245178222656e+00,-3.093603849411010742e+00
-3.156641721725463867e-01,8.063323497772216797e-01,3.199085593223571777e-01,-8.714312911033630371e-01,-3.358110666275024414e+00,-2.994735479354858398e+00
-3.129072785377502441e-01,9.350828528404235840e-01,4.753807187080383301e-01,-6.233328580856323242e-01,-2.954459667205810547e+00,-2.885221958160400391e+00
-3.101503849029541016e-01,9.265482425689697266e-01,5.157444477081298828e-01,-4.616854190826416016e-01,-2.587592840194702148e+00,-2.766467571258544922e+00
-3.073934912681579590e-01,7.964000105857849121e-01,4.528547525405883789e-01,-3.765287697315216064e-01,-2.255041122436523438e+00,-2.639814615249633789e+00
-3.046365976333618164e-01,5.665249228477478027e-01,3.022115230560302734e-01,-3.562055826187133789e-01,-1.954017758369445801e+00,-2.506542444229125977e+00
-3.018797039985656738e-01,2.618616521358489990e-01,8.242578804492950439e-02,-3.875899016857147217e-01,-1.681495070457458496e+00,-2.367860078811645508e+00
-2.991228103637695312e-01,-9.151110053062438965e-02,-1.856968104839324951e-01,-4.564066529273986816e-01,-1.434268474578857422e+00,-2.224909782409667969e+00
-2.963659167289733887e-01,-4.680499434471130371e-01,-4.802427589893341064e-01,-5.477377772331237793e-01,-1.209050059318542480e+00,-2.078758478164672852e+00
-2.936090230941772461e-01,-8.440907001495361328e-01,-7.790886759757995605e-01,-6.465619802474975586e-01,-1.002521634101867676e+00,-1.930403113365173340e+00
-2.908521294593811035e-01,-1.198623180389404297e+00,-1.060619592666625977e+00,-7.384228110313415527e-01,-8.114411234855651855e-01,-1.780777573585510254e+00
-2.880952358245849609e-01,-1.512812733650207520e+00,-1.304148554801940918e+00,-8.100727796554565430e-01,-6.326957941055297852e-01,-1.630737900733947754e+00
-2.853383421897888184e-01,-1.768464088439941406e+00,-1.490195751190185547e+00,-8.501505255699157715e-01,-4.633760154247283936e-01,-1.481085896492004395e+00
-2.825814783573150635e-01,-1.946589350700378418e+00,-1.600928068161010742e+00,-8.497568964958190918e-01,-3.008389174938201904e-01,-1.332554578781127930e+00
-2.798245847225189209e-01,-2.027566432952880859e+00,-1.620889782905578613e+00,-8.028882145881652832e-01,-1.427517831325531006e-01,-1.185819506645202637e+00
