x,a,b,c,d,e
-5.009600000000000719e-01,inf,inf,inf,inf,inf
-4.928799999999999848e-01,inf,inf,inf,inf,inf
-4.848000000000000087e-01,inf,inf,inf,inf,inf
-4.767200000000000326e-01,inf,inf,inf,inf,inf
-4.686400000000000010e-01,inf,inf,inf,inf,inf
-4.605599999999999694e-01,inf,inf,inf,inf,inf
-4.524799999999999933e-01,inf,inf,inf,inf,inf
-4.444000000000000172e-01,inf,inf,inf,inf,inf
-4.363199999999999856e-01,inf,inf,inf,inf,inf
-4.282400000000000095e-01,inf,inf,inf,inf,inf
-4.201599999999999779e-01,inf,inf,inf,inf,inf
-4.120800000000000018e-01,inf,inf,inf,inf,inf
-4.040000000000000258e-01,inf,inf,inf,inf,inf
-3.959199999999999942e-01,inf,inf,inf,inf,inf
-3.878399999999999626e-01,inf,inf,inf,inf,inf
-3.797599999999999865e-01,inf,inf,inf,inf,inf
-3.716800000000000104e-01,inf,inf,inf,inf,inf
-3.636000000000000343e-01,inf,inf,inf,inf,inf
-3.555200000000000027e-01,inf,inf,inf,inf,inf
-3.474399999999999711e-01,inf,inf,inf,inf,inf
-3.393599999999999950e-01,inf,inf,inf,inf,inf
-3.312800000000000189e-01,inf,inf,inf,inf,inf
-3.231999999999999873e-01,inf,inf,inf,inf,inf
-3.151200000000000112e-01,inf,inf,inf,inf,inf
-3.070399999999999796e-01,inf,inf,inf,inf,inf
-2.989600000000000035e-01,inf,inf,inf,inf,inf
-2.908800000000000274e-01,inf,inf,inf,inf,inf
-2.827999999999999958e-01,inf,inf,inf,inf,inf
-2.747199999999999642e-01,inf,inf,inf,inf,inf
-2.666399999999999881e-01,inf,inf,inf,inf,inf
-2.585600000000000120e-01,inf,inf,inf,inf,inf
-2.504799999999999804e-01,inf,inf,inf,inf,inf
-2.424000000000000044e-01,inf,inf,inf,inf,inf
-2.343199999999999728e-01,inf,inf,inf,inf,inf
-2.262399999999999967e-01,inf,inf,inf,inf,inf
-2.181599999999999651e-01,inf,inf,inf,inf,inf
-2.100799999999999890e-01,inf,inf,inf,inf,inf
-2.020000000000000129e-01,inf,inf,inf,inf,inf
-1.939199999999999813e-01,inf,inf,inf,inf,inf
-1.858400000000000052e-01,inf,inf,inf,inf,inf
-1.777599999999999736e-01,inf,inf,inf,inf,inf
-1.696799999999999975e-01,inf,inf,inf,inf,inf
-1.615999999999999659e-01,inf,inf,inf,inf,inf
-1.535199999999999898e-01,inf,inf,inf,inf,inf
-1.454400000000000137e-01,inf,inf,inf,inf,inf
-1.373599999999999821e-01,inf,inf,inf,inf,inf
-1.292800000000000060e-01,inf,inf,inf,inf,inf
-1.211999999999999883e-01,inf,inf,inf,inf,inf
-1.131199999999999845e-01,inf,inf,inf,inf,inf
