x,a,b,c,d,e
-5.500000119209289551e-01,2.035752487182617188e+01,8.938560485839843750e+00,4.649302959442138672e+00,3.364713430404663086e+00,2.847584486007690430e+00
-5.472431182861328125e-01,1.829638290405273438e+01,8.150849342346191406e+00,4.371068954467773438e+00,3.285469532012939453e+00,2.801532268524169922e+00
-5.444862246513366699e-01,1.635207366943359375e+01,7.407485961914062500e+00,4.108289718627929688e+00,3.210394144058227539e+00,2.755810737609863281e+00
-5.417293310165405273e-01,1.452458572387695312e+01,6.708438873291015625e+00,3.860956430435180664e+00,3.139464378356933594e+00,2.710414409637451172e+00
-5.389724373817443848e-01,1.281390285491943359e+01,6.053671836853027344e+00,3.629057407379150391e+00,3.072652578353881836e+00,2.665338277816772461e+00
-5.362155437469482422e-01,1.121999740600585938e+01,5.443144798278808594e+00,3.412582397460937500e+00,3.009927034378051758e+00,2.620578050613403320e+00
-5.334586501121520996e-01,9.742838859558105469e+00,4.876812458038330078e+00,3.211517572402954102e+00,2.951249599456787109e+00,2.576131343841552734e+00
-5.307017564773559570e-01,8.382373809814453125e+00,4.354620933532714844e+00,3.025848627090454102e+00,2.896574497222900391e+00,2.531996965408325195e+00
-5.279448628425598145e-01,7.138537406921386719e+00,3.876510381698608398e+00,2.855559825897216797e+00,2.845849514007568359e+00,2.488173246383666992e+00
-5.251879692077636719e-01,6.011230945587158203e+00,3.442411422729492188e+00,2.700631856918334961e+00,2.799011468887329102e+00,2.444660902023315430e+00
-5.224310755729675293e-01,5.000318527221679688e+00,3.052245378494262695e+00,2.561045408248901367e+00,2.755986213684082031e+00,2.401460886001586914e+00
-5.196741819381713867e-01,4.105611801147460938e+00,2.705921173095703125e+00,2.436775445938110352e+00,2.716685533523559570e+00,2.358575582504272461e+00
-5.169172883033752441e-01,3.326842308044433594e+00,2.403333663940429688e+00,2.327795505523681641e+00,2.681005954742431641e+00,2.316007852554321289e+00
-5.141603946685791016e-01,2.663638353347778320e+00,2.144361019134521484e+00,2.234073162078857422e+00,2.648824691772460938e+00,2.273761987686157227e+00
-5.114035010337829590e-01,2.115479230880737305e+00,1.928861618041992188e+00,2.155570983886718750e+00,2.619997501373291016e+00,2.231843233108520508e+00
-5.086466073989868164e-01,1.681642532348632812e+00,1.756668329238891602e+00,2.092245578765869141e+00,2.594354391098022461e+00,2.190256834030151367e+00
-5.058897137641906738e-01,1.361125946044921875e+00,1.627581238746643066e+00,2.044044017791748047e+00,2.571696758270263672e+00,2.149008989334106445e+00
-5.031328201293945312e-01,1.152550578117370605e+00,1.541359901428222656e+00,2.010903835296630859e+00,2.551791429519653320e+00,2.108108043670654297e+00
-5.003759264945983887e-01,1.054028868675231934e+00,1.497707366943359375e+00,1.992747902870178223e+00,2.534367799758911133e+00,2.067560911178588867e+00
-4.976190626621246338e-01,1.062992334365844727e+00,1.496249794960021973e+00,1.989483714103698730e+00,2.519113779067993164e+00,2.027377128601074219e+00
-4.948621690273284912e-01,1.175962448120117188e+00,1.536504149436950684e+00,2.000995635986328125e+00,2.505669116973876953e+00,1.987564086914062500e+00
-4.921052753925323486e-01,1.388206243515014648e+00,1.617827892303466797e+00,2.027140378952026367e+00,2.493624925613403320e+00,1.948133587837219238e+00
-4.893483817577362061e-01,1.693144321441650391e+00,1.739338040351867676e+00,2.067738294601440430e+00,2.482520341873168945e+00,1.909093976020812988e+00
-4.865914881229400635e-01,2.081171512603759766e+00,1.899783968925476074e+00,2.122558832168579102e+00,2.471841573715209961e+00,1.870456099510192871e+00
-4.838345944881439209e-01,2.537152767181396484e+00,2.097343206405639648e+00,2.191306829452514648e+00,2.461026191711425781e+00,1.832230806350708008e+00
-4.810777008533477783e-01,3.035516977310180664e+00,2.329296588897705078e+00,2.273596286773681641e+00,2.449467182159423828e+00,1.794428825378417969e+00
-4.783208072185516357e-01,3.533227443695068359e+00,2.591529130935668945e+00,2.368917226791381836e+00,2.436526060104370117e+00,1.757061958312988281e+00
-4.755639135837554932e-01,3.968569517135620117e+00,2.877808570861816406e+00,2.476583719253540039e+00,2.421546220779418945e+00,1.720140457153320312e+00
-4.728070199489593506e-01,4.284041881561279297e+00,3.178875446319580078e+00,2.595662117004394531e+00,2.403874874114990234e+00,1.683675765991210938e+00
-4.700501263141632080e-01,4.466980457305908203e+00,3.481641054153442383e+00,2.724858283996582031e+00,2.382888317108154297e+00,1.647679686546325684e+00
-4.672932326793670654e-01,4.553144454956054688e+00,3.769302845001220703e+00,2.862357616424560547e+00,2.358019113540649414e+00,1.612163543701171875e+00
-4.645363390445709229e-01,4.588036060333251953e+00,4.023611068725585938e+00,3.005589962005615234e+00,2.328787565231323242e+00,1.577137351036071777e+00
-4.617794752120971680e-01,4.601402282714843750e+00,4.229771614074707031e+00,3.150910615921020508e+00,2.294827222824096680e+00,1.542613029479980469e+00
-4.590225815773010254e-01,4.607236862182617188e+00,4.381767749786376953e+00,3.293210744857788086e+00,2.255906581878662109e+00,1.508600234985351562e+00
-4.562656879425048828e-01,4.610917091369628906e+00,4.483894824981689453e+00,3.425527811050415039e+00,2.211944818496704102e+00,1.475109934806823730e+00
-4.535087943077087402e-01,4.614233016967773438e+00,4.547160625457763672e+00,3.538908243179321289e+00,2.163014173507690430e+00,1.442151904106140137e+00
-4.507519006729125977e-01,4.617723941802978516e+00,4.583769798278808594e+00,3.622917413711547852e+00,2.109333276748657227e+00,1.409736037254333496e+00
-4.479950070381164551e-01,4.621554374694824219e+00,4.603319168090820312e+00,3.667225837707519531e+00,2.051251173019409180e+00,1.377870917320251465e+00
-4.452381134033203125e-01,4.625789165496826172e+00,4.611427783966064453e+00,3.664200067520141602e+00,1.989223361015319824e+00,1.346565961837768555e+00
-4.424812197685241699e-01,4.630472183227539062e+00,4.609649658203125000e+00,3.611428022384643555e+00,1.923785090446472168e+00,1.315829396247863770e+00
-4.397243261337280273e-01,4.635628700256347656e+00,4.595545291900634766e+00,3.512575149536132812e+00,1.855519771575927734e+00,1.285668730735778809e+00
-4.369674324989318848e-01,4.641215801239013672e+00,4.562579631805419922e+00,3.375940561294555664e+00,1.785032868385314941e+00,1.256089925765991211e+00
-4.342105388641357422e-01,4.646946430206298828e+00,4.500299930572509766e+00,3.211757659912109375e+00,1.712927460670471191e+00,1.227101802825927734e+00
-4.314536452293395996e-01,4.651743888854980469e+00,4.395968437194824219e+00,3.029814243316650391e+00,1.639786124229431152e+00,1.198708772659301758e+00
-4.286967515945434570e-01,4.652312278747558594e+00,4.238653659820556641e+00,2.838191747665405273e+00,1.566155314445495605e+00,1.170915842056274414e+00
-4.259398579597473145e-01,4.639960765838623047e+00,4.024657249450683594e+00,2.642977237701416016e+00,1.492537021636962891e+00,1.143728852272033691e+00
-4.231829643249511719e-01,4.595205783843994141e+00,3.760489940643310547e+00,2.448505401611328125e+00,1.419383168220520020e+00,1.117150783538818359e+00
-4.204260706901550293e-01,4.483456611633300781e+00,3.460653066635131836e+00,2.257760047912597656e+00,1.347095847129821777e+00,1.091184735298156738e+00
-4.176691770553588867e-01,4.263938903808593750e+00,3.142230510711669922e+00,2.072747468948364258e+00,1.276024460792541504e+00,1.065832972526550293e+00
-4.149122834205627441e-01,3.920258283615112305e+00,2.820332765579223633e+00,1.894793152809143066e+00,1.206473350524902344e+00,1.041097402572631836e+00
-4.121553897857666016e-01,3.482281208038330078e+00,2.506189346313476562e+00,1.724750518798828125e+00,1.138699769973754883e+00,1.016979098320007324e+00
-4.093984961509704590e-01,3.005435943603515625e+00,2.207205295562744141e+00,1.563147068023681641e+00,1.072922468185424805e+00,9.934769272804260254e-01
-4.066416025161743164e-01,2.537627458572387695e+00,1.927792429924011230e+00,1.410282015800476074e+00,1.009325742721557617e+00,9.705914258956909180e-01
-4.038847088813781738e-01,2.107577323913574219e+00,1.670251131057739258e+00,1.266292929649353027e+00,9.480608105659484863e-01,9.483197927474975586e-01
-4.011278450489044189e-01,1.728322386741638184e+00,1.435461163520812988e+00,1.131201624870300293e+00,8.892531991004943848e-01,9.266605973243713379e-01
-3.983709514141082764e-01,1.403058528900146484e+00,1.223353624343872070e+00,1.004939436912536621e+00,8.330025076866149902e-01,9.056093692779541016e-01
-3.956140577793121338e-01,1.129373311996459961e+00,1.033242702484130859e+00,8.873791098594665527e-01,7.793920040130615234e-01,8.851621747016906738e-01
-3.928571641445159912e-01,9.018879532814025879e-01,8.640299439430236816e-01,7.783446311950683594e-01,7.284848690032958984e-01,8.653136491775512695e-01
-3.901002705097198486e-01,7.139977216720581055e-01,7.143530845642089844e-01,6.776247024536132812e-01,6.803316473960876465e-01,8.460578918457031250e-01
-3.873433768749237061e-01,5.590180754661560059e-01,5.826925635337829590e-01,5.849820375442504883e-01,6.349701285362243652e-01,8.273880481719970703e-01
-3.845864832401275635e-01,4.308745265007019043e-01,4.674558937549591064e-01,5.001624822616577148e-01,5.924273729324340820e-01,8.092955946922302246e-01
-3.818295896053314209e-01,3.244185149669647217e-01,3.670426607131958008e-01,4.228995740413665771e-01,5.527221560478210449e-01,7.917716503143310547e-01
-3.790726959705352783e-01,2.354774922132492065e-01,2.799017429351806641e-01,3.529222905635833740e-01,5.158658027648925781e-01,7.748069167137145996e-01
-3.763158023357391357e-01,1.607529819011688232e-01,2.045735865831375122e-01,2.899581193923950195e-01,4.818629324436187744e-01,7.583902478218078613e-01
-3.735589087009429932e-01,9.767127037048339844e-02,1.397262811660766602e-01,2.337398827075958252e-01,4.507125318050384521e-01,7.425097227096557617e-01
-3.708020150661468506e-01,4.424444213509559631e-02,8.417783677577972412e-02,1.840066164731979370e-01,4.224101006984710693e-01,7.271525263786315918e-01
-3.680451214313507080e-01,-1.041181385517120361e-03,3.691104054450988770e-02,1.405103206634521484e-01,3.969451487064361572e-01,7.123055458068847656e-01
-3.652882277965545654e-01,-3.931333869695663452e-02,-2.922145649790763855e-03,1.030170172452926636e-01,3.743039369583129883e-01,6.979534626007080078e-01
-3.625313341617584229e-01,-7.138477265834808350e-02,-3.600413352251052856e-02,7.130938768386840820e-02,3.544702827930450439e-01,6.840812563896179199e-01
-3.597744405269622803e-01,-9.781034290790557861e-02,-6.286038458347320557e-02,4.518951475620269775e-02,3.374224603176116943e-01,6.706719398498535156e-01
-3.570175468921661377e-01,-1.189312562346458435e-01,-8.387441933155059814e-02,2.447921223938465118e-02,3.231363892555236816e-01,6.577086448669433594e-01
-3.542606532573699951e-01,-1.349076032638549805e-01,-9.930533170700073242e-02,9.020645171403884888e-03,3.115837872028350830e-01,6.451725363731384277e-01
-3.515037596225738525e-01,-1.457477062940597534e-01,-1.093071252107620239e-01,-1.322426833212375641e-03,3.027334213256835938e-01,6.330448389053344727e-01
-3.487468659877777100e-01,-1.513436138629913330e-01,-1.139497831463813782e-01,-6.666088011115789413e-03,2.965488135814666748e-01,6.213056445121765137e-01
-3.459899723529815674e-01,-1.515048295259475708e-01,-1.132398843765258789e-01,-7.107274141162633896e-03,2.929884791374206543e-01,6.099333167076110840e-01
-3.432331085205078125e-01,-1.459925174713134766e-01,-1.071410477161407471e-01,-2.726104110479354858e-03,2.920066416263580322e-01,5.989072322845458984e-01
-3.404762148857116699e-01,-1.345455050468444824e-01,-9.559082984924316406e-02,6.415126845240592957e-03,2.935505807399749756e-01,5.882047414779663086e-01
-3.377193212509155273e-01,-1.169012188911437988e-01,-7.851759344339370728e-02,2.026697807013988495e-02,2.975611388683319092e-01,5.778027176856994629e-01
-3.349624276161193848e-01,-9.283258020877838135e-02,-5.585058405995368958e-02,3.879156708717346191e-02,3.039704263210296631e-01,5.676771998405456543e-01
-3.322055339813232422e-01,-6.220450997352600098e-02,-2.752794511616230011e-02,6.196065992116928101e-02,3.127012252807617188e-01,5.578046441078186035e-01
-3.294486403465270996e-01,-2.503253147006034851e-02,6.502014584839344025e-03,8.975180238485336304e-02,3.236671984195709229e-01,5.481601953506469727e-01
-3.266917467117309570e-01,1.849994063377380371e-02,4.628195613622665405e-02,1.221465989947319031e-01,3.367670178413391113e-01,5.387185811996459961e-01
-3.239348530769348145e-01,6.811133772134780884e-02,9.185050427913665771e-02,1.591272056102752686e-01,3.518874943256378174e-01,5.294555425643920898e-01
-3.211779594421386719e-01,1.235824376344680786e-01,1.432446539402008057e-01,2.006722539663314819e-01,3.689000606536865234e-01,5.203437805175781250e-01
-3.184210658073425293e-01,1.849301755428314209e-01,2.005017846822738647e-01,2.467537075281143188e-01,3.876569569110870361e-01,5.113592147827148438e-01
-3.156641721725463867e-01,2.524972856044769287e-01,2.636547386646270752e-01,2.973310053348541260e-01,4.079914689064025879e-01,5.024753808975219727e-01
