x,y
0.000000000000000000e+00,0.000000000000000000e+00
1.562500000000000000e-02,1.111740428288406357e-01
3.125000000000000000e-02,1.892061273381136222e-01
4.687500000000000000e-02,2.383576692322203205e-01
6.250000000000000000e-02,2.931277041965574814e-01
7.812500000000000000e-02,3.220082468117237973e-01
9.375000000000000000e-02,3.565072824971206034e-01
1.093750000000000000e-01,3.985088405386627564e-01
1.250000000000000000e-01,4.369514471774516573e-01
1.406250000000000000e-01,4.516039533861615496e-01
1.562500000000000000e-01,4.718749526651019877e-01
1.718750000000000000e-01,4.988714659943534468e-01
1.875000000000000000e-01,5.230860362266860353e-01
2.031250000000000000e-01,5.561255124284214535e-01
2.187500000000000000e-01,5.856060372274036752e-01
2.343750000000000000e-01,6.131375736554089961e-01
2.500000000000000000e-01,6.401201017138067328e-01
2.656250000000000000e-01,6.447860740966406823e-01
2.812500000000000000e-01,6.550705395497049555e-01
2.968750000000000000e-01,6.715351437456569261e-01
3.125000000000000000e-01,6.857631801521132386e-01
3.281250000000000000e-01,7.074937389147152311e-01
3.437500000000000000e-01,7.264423545803980753e-01
3.593750000000000000e-01,7.436438313439007741e-01
3.750000000000000000e-01,7.606398255764224015e-01
3.906250000000000000e-01,7.873888952254387563e-01
4.062500000000000000e-01,8.105790134717019146e-01
4.218750000000000000e-01,8.314766175083616595e-01
4.375000000000000000e-01,8.521687390140403329e-01
4.531250000000000000e-01,8.720418910646305921e-01
4.687500000000000000e-01,8.913660347456133781e-01
4.843750000000000000e-01,9.111964822388187724e-01
5.000000000000000000e-01,9.301352817656857175e-01
5.156250000000000000e-01,9.277917937418738159e-01
5.312500000000000000e-01,9.310667987882926822e-01
5.468750000000000000e-01,9.401391484379306718e-01
5.625000000000000000e-01,9.473577244377413553e-01
5.781250000000000000e-01,9.611506533466060986e-01
5.937500000000000000e-01,9.727070144659748507e-01
6.093750000000000000e-01,9.826579130529935480e-01
6.250000000000000000e-01,9.926444468788695463e-01
6.406250000000000000e-01,1.010678878368314493e+00
6.562500000000000000e-01,1.025931366760840291e+00
6.718750000000000000e-01,1.039234866782389410e+00
6.875000000000000000e-01,1.052534733741754103e+00
7.031250000000000000e-01,1.064813781777233626e+00
7.187500000000000000e-01,1.076887347281732188e+00
7.343750000000000000e-01,1.089414780597772747e+00
7.500000000000000000e-01,1.101344119717994063e+00
7.656250000000000000e-01,1.123678008239926918e+00
7.812500000000000000e-01,1.142452945359106575e+00
7.968750000000000000e-01,1.158694250498844447e+00
8.125000000000000000e-01,1.174971190877439620e+00
8.281250000000000000e-01,1.189844518192481271e+00
8.437500000000000000e-01,1.204512362976541962e+00
8.593750000000000000e-01,1.219775751941974962e+00
8.750000000000000000e-01,1.234299370341758406e+00
8.906250000000000000e-01,1.248797169641500115e+00
9.062500000000000000e-01,1.262745960571634241e+00
9.218750000000000000e-01,1.276907501543472323e+00
9.375000000000000000e-01,1.290470948319490718e+00
9.531250000000000000e-01,1.305281413262098011e+00
9.687500000000000000e-01,1.319200230238366967e+00
9.843750000000000000e-01,1.332987520749887134e+00
1.000000000000000000e+00,1.346280497847606394e+00
1.015625000000000000e+00,1.149811003772105433e+00
1.031250000000000000e+00,1.015364010631337965e+00
1.046875000000000000e+00,9.355972241423482494e-01
1.062500000000000000e+00,8.446832798254572117e-01
1.078125000000000000e+00,8.037533141414223703e-01
1.093750000000000000e+00,7.514075107839375267e-01
1.109375000000000000e+00,6.847872093713160968e-01
1.125000000000000000e+00,6.244287297864294928e-01
1.140625000000000000e+00,6.114094616078843414e-01
1.156250000000000000e+00,5.865915616162207247e-01
1.171875000000000000e+00,5.486196977138811937e-01
1.187500000000000000e+00,5.155204416492673580e-01
1.203125000000000000e+00,4.662396603077943458e-01
