x,y
0.000000000000000000e+00,0.000000000000000000e+00
1.562500000000000000e-02,-2.888054261516629848e-02
3.125000000000000000e-02,-4.915154189410669144e-02
4.687500000000000000e-02,-6.192001881690174098e-02
6.250000000000000000e-02,-7.614805522335814369e-02
7.812500000000000000e-02,-8.365057757950350448e-02
9.375000000000000000e-02,-9.261265941931019763e-02
1.093750000000000000e-01,-1.035237296300937498e-01
1.250000000000000000e-01,-1.135102634559698731e-01
1.406250000000000000e-01,-1.173166585389582572e-01
1.562500000000000000e-01,-1.225826131056079737e-01
1.718750000000000000e-01,-1.295957065744378356e-01
1.875000000000000000e-01,-1.358861131271569822e-01
2.031250000000000000e-01,-1.444690338894795145e-01
2.187500000000000000e-01,-1.521274182668946318e-01
2.343750000000000000e-01,-1.592794988320869742e-01
2.500000000000000000e-01,-1.662889592387325755e-01
2.656250000000000000e-01,-1.675010750421587757e-01
2.812500000000000000e-01,-1.701727503292463362e-01
2.968750000000000000e-01,-1.744498881486842012e-01
3.125000000000000000e-01,-1.781460154218411918e-01
3.281250000000000000e-01,-1.837911310659750552e-01
3.437500000000000000e-01,-1.887135597939982312e-01
3.593750000000000000e-01,-1.931821207104791049e-01
3.750000000000000000e-01,-1.975973018375625501e-01
3.906250000000000000e-01,-2.045461149440880311e-01
4.062500000000000000e-01,-2.105703916657060137e-01
4.218750000000000000e-01,-2.159991242059519645e-01
4.375000000000000000e-01,-2.213744769568004034e-01
4.531250000000000000e-01,-2.265370796659452457e-01
4.687500000000000000e-01,-2.315570622165432635e-01
4.843750000000000000e-01,-2.367085712318902080e-01
5.000000000000000000e-01,-2.416284499454659507e-01
5.156250000000000000e-01,-2.410196639013708342e-01
5.312500000000000000e-01,-2.418704373409370501e-01
5.468750000000000000e-01,-2.442272319128448999e-01
5.625000000000000000e-01,-2.461024573384805736e-01
5.781250000000000000e-01,-2.496855533652545533e-01
5.937500000000000000e-01,-2.526876388457477418e-01
6.093750000000000000e-01,-2.552726608831673016e-01
6.250000000000000000e-01,-2.578669401627294300e-01
6.406250000000000000e-01,-2.625518841830982719e-01
6.562500000000000000e-01,-2.665141412873563986e-01
6.718750000000000000e-01,-2.699700945793918061e-01
6.875000000000000000e-01,-2.734251040827102575e-01
7.031250000000000000e-01,-2.766149275436444177e-01
7.187500000000000000e-01,-2.797513712151811771e-01
7.343750000000000000e-01,-2.830057196452331336e-01
7.500000000000000000e-01,-2.861046965112875595e-01
7.656250000000000000e-01,-2.919065438023238368e-01
7.812500000000000000e-01,-2.967838547084526990e-01
7.968750000000000000e-01,-3.010029844016693934e-01
8.125000000000000000e-01,-3.052313713370286563e-01
8.281250000000000000e-01,-3.090951308299950684e-01
8.437500000000000000e-01,-3.129055105335639131e-01
8.593750000000000000e-01,-3.168705993641167673e-01
8.750000000000000000e-01,-3.206435122622032785e-01
8.906250000000000000e-01,-3.244097179325948210e-01
9.062500000000000000e-01,-3.280333034444394835e-01
9.218750000000000000e-01,-3.317121566832594293e-01
9.375000000000000000e-01,-3.352356383580818444e-01
9.531250000000000000e-01,-3.390830676054281123e-01
9.687500000000000000e-01,-3.426988665510031229e-01
9.843750000000000000e-01,-3.462804978476058393e-01
1.000000000000000000e+00,-3.497337175181737257e-01
1.015625000000000000e+00,-9.672071030053019935e-02
1.031250000000000000e+00,7.996982827725035436e-02
1.046875000000000000e+00,1.899871577556458968e-01
1.062500000000000000e+00,3.131076257367212401e-01
1.078125000000000000e+00,3.762088281865947348e-01
1.093750000000000000e+00,4.524829661846790918e-01
1.109375000000000000e+00,5.460954520937069123e-01
1.125000000000000000e+00,6.316155578894698808e-01
1.140625000000000000e+00,6.616175042747296509e-01
1.156250000000000000e+00,7.048918276082088985e-01
1.171875000000000000e+00,7.638017850322789126e-01
1.187500000000000000e+00,8.163918732089677777e-01
1.203125000000000000e+00,8.892181429969544526e-01
1.218750000000000000e+00,9.539959970541361800e-01
1.234375000000000000e+00,1.014263023365156613e+00
1.250000000000000000e+00,1.073391765089175776e+00
1.265625000000000000e+00,1.079920516497470340e+00
1.281250000000000000e+00,1.099863321223814694e+00
1.296875000000000000e+00,1.134309277192287579e+00
1.312500000000000000e+00,1.163667288161849944e+00
1.328125000000000000e+00,1.210326842673887127e+00
1.343750000000000000e+00,1.250703332307012250e+00
