x,a,b,c,d,e
-2.406743913888931274e-01,-2.406743913888931274e-01,-2.277325689792633057e-01,-1.779600530862808228e-01,-1.355551630258560181e-01,-1.293814033269882202e-01
-2.394680082798004150e-01,-2.394680082798004150e-01,-2.270321100950241089e-01,-1.766295135021209717e-01,-1.348611116409301758e-01,-1.287325918674468994e-01
-2.382616102695465088e-01,-2.382616102695465088e-01,-2.263278067111968994e-01,-1.753021180629730225e-01,-1.341671943664550781e-01,-1.280837208032608032e-01
-2.370552271604537964e-01,-2.370552271604537964e-01,-2.256193757057189941e-01,-1.739782094955444336e-01,-1.334736496210098267e-01,-1.274348795413970947e-01
-2.358488440513610840e-01,-2.358488440513610840e-01,-2.249064147472381592e-01,-1.726581156253814697e-01,-1.327803134918212891e-01,-1.267859935760498047e-01
-2.346424460411071777e-01,-2.346424460411071777e-01,-2.241885811090469360e-01,-1.713420748710632324e-01,-1.320872306823730469e-01,-1.261371970176696777e-01
-2.334360629320144653e-01,-2.334360629320144653e-01,-2.234654873609542847e-01,-1.700303852558135986e-01,-1.313944309949874878e-01,-1.254883110523223877e-01
-2.322296798229217529e-01,-2.322296798229217529e-01,-2.227367013692855835e-01,-1.687233746051788330e-01,-1.307018399238586426e-01,-1.248394772410392761e-01
-2.310232818126678467e-01,-2.310232818126678467e-01,-2.220017313957214355e-01,-1.674212813377380371e-01,-1.300095021724700928e-01,-1.241907104849815369e-01
-2.298168987035751343e-01,-2.298168987035751343e-01,-2.212600857019424438e-01,-1.661242544651031494e-01,-1.293174028396606445e-01,-1.235418394207954407e-01
-2.286105155944824219e-01,-2.286105155944824219e-01,-2.205112129449844360e-01,-1.648327410221099854e-01,-1.286255419254302979e-01,-1.228930652141571045e-01
-2.274041175842285156e-01,-2.274041175842285156e-01,-2.197545319795608521e-01,-1.635468006134033203e-01,-1.279339194297790527e-01,-1.222442090511322021e-01
-2.261977344751358032e-01,-2.261977344751358032e-01,-2.189894169569015503e-01,-1.622667461633682251e-01,-1.272424459457397461e-01,-1.215954646468162537e-01
-2.249913513660430908e-01,-2.249913513660430908e-01,-2.182151675224304199e-01,-1.609927415847778320e-01,-1.265513449907302856e-01,-1.209466457366943359e-01
-2.237849682569503784e-01,-2.237849682569503784e-01,-2.174310535192489624e-01,-1.597250401973724365e-01,-1.258604526519775391e-01,-1.202978417277336121e-01
-2.225785702466964722e-01,-2.225785702466964722e-01,-2.166362702846527100e-01,-1.584637165069580078e-01,-1.251697242259979248e-01,-1.196490600705146790e-01
-2.213721871376037598e-01,-2.213721871376037598e-01,-2.158300131559371948e-01,-1.572090089321136475e-01,-1.244792491197586060e-01,-1.190002411603927612e-01
-2.201658040285110474e-01,-2.201658040285110474e-01,-2.150113433599472046e-01,-1.559611260890960693e-01,-1.237890124320983887e-01,-1.183514595031738281e-01
-2.189594060182571411e-01,-2.189594060182571411e-01,-2.141792923212051392e-01,-1.547201126813888550e-01,-1.230989396572113037e-01,-1.177026852965354919e-01
-2.177530229091644287e-01,-2.177530229091644287e-01,-2.133328616619110107e-01,-1.534861773252487183e-01,-1.224091798067092896e-01,-1.170539632439613342e-01
-2.165466398000717163e-01,-2.165466398000717163e-01,-2.124709188938140869e-01,-1.522593796253204346e-01,-1.217195987701416016e-01,-1.164051666855812073e-01
-2.153402417898178101e-01,-2.153402417898178101e-01,-2.115923166275024414e-01,-1.510398685932159424e-01,-1.210301965475082397e-01,-1.157563701272010803e-01
-2.141338586807250977e-01,-2.141338586807250977e-01,-2.106958180665969849e-01,-1.498277485370635986e-01,-1.203410401940345764e-01,-1.151076406240463257e-01
-2.129274755716323853e-01,-2.129274755716323853e-01,-2.097801417112350464e-01,-1.486230790615081787e-01,-1.196520999073982239e-01,-1.144588664174079895e-01
-2.117210775613784790e-01,-2.117210775613784790e-01,-2.088438868522644043e-01,-1.474259495735168457e-01,-1.189633682370185852e-01,-1.138100922107696533e-01
-2.105146944522857666e-01,-2.105146944522857666e-01,-2.078856825828552246e-01,-1.462363898754119873e-01,-1.182748526334762573e-01,-1.131614297628402710e-01
-2.093083113431930542e-01,-2.093083113431930542e-01,-2.069040089845657349e-01,-1.450545191764831543e-01,-1.175865605473518372e-01,-1.125126853585243225e-01
-2.081019133329391479e-01,-2.081019133329391479e-01,-2.058973163366317749e-01,-1.438803076744079590e-01,-1.168983653187751770e-01,-1.118638813495635986e-01
-2.068955302238464355e-01,-2.068955302238464355e-01,-2.048640549182891846e-01,-1.427138447761535645e-01,-1.162104532122612000e-01,-1.112152114510536194e-01
-2.056891471147537231e-01,-2.056891471147537231e-01,-2.038026005029678345e-01,-1.415551006793975830e-01,-1.155228093266487122e-01,-1.105664744973182678e-01
-2.044827491044998169e-01,-2.044827491044998169e-01,-2.027112841606140137e-01,-1.404040753841400146e-01,-1.148352846503257751e-01,-1.099177300930023193e-01
-2.032763659954071045e-01,-2.032763659954071045e-01,-2.015885263681411743e-01,-1.392609179019927979e-01,-1.141479909420013428e-01,-1.092690005898475647e-01
-2.020699828863143921e-01,-2.020699828863143921e-01,-2.004326283931732178e-01,-1.381254196166992188e-01,-1.134608536958694458e-01,-1.086203157901763916e-01
-2.008635848760604858e-01,-2.008635848760604858e-01,-1.992420256137847900e-01,-1.369976699352264404e-01,-1.127739399671554565e-01,-1.079715862870216370e-01
-1.996572017669677734e-01,-1.996572017669677734e-01,-1.980151534080505371e-01,-1.358776390552520752e-01,-1.120871827006340027e-01,-1.073228567838668823e-01
-1.984508186578750610e-01,-1.984508186578750610e-01,-1.967505663633346558e-01,-1.347652971744537354e-01,-1.114006340503692627e-01,-1.066741570830345154e-01
-1.972444206476211548e-01,-1.972444206476211548e-01,-1.954468935728073120e-01,-1.336605250835418701e-01,-1.107143089175224304e-01,-1.060254946351051331e-01
-1.960380375385284424e-01,-1.960380375385284424e-01,-1.941029578447341919e-01,-1.325634121894836426e-01,-1.100281104445457458e-01,-1.053768023848533630e-01
-1.948316544294357300e-01,-1.948316544294357300e-01,-1.927177459001541138e-01,-1.314738392829895020e-01,-1.093421578407287598e-01,-1.047281101346015930e-01
-1.936252713203430176e-01,-1.936252713203430176e-01,-1.912904232740402222e-01,-1.303917467594146729e-01,-1.086563840508460999e-01,-1.040794029831886292e-01
-1.924188733100891113e-01,-1.924188733100891113e-01,-1.898204684257507324e-01,-1.293170601129531860e-01,-1.079707592725753784e-01,-1.034306958317756653e-01
