x,y
0.000000000000000000e+00,0.000000000000000000e+00
1.562500000000000000e-02,1.196007484515110774e-03
3.125000000000000000e-02,3.711129280990663106e-03
4.687500000000000000e-02,6.986349708875564356e-03
6.250000000000000000e-02,1.137010202547147561e-02
7.812500000000000000e-02,1.617814220652442556e-02
9.375000000000000000e-02,2.138749038692912968e-02
1.093750000000000000e-01,2.765974197470495374e-02
1.250000000000000000e-01,3.487382620911819164e-02
1.406250000000000000e-01,4.217249086492400739e-02
1.562500000000000000e-01,4.958312325219245420e-02
1.718750000000000000e-01,5.745696247282749275e-02
1.875000000000000000e-01,6.559955162725072952e-02
2.031250000000000000e-01,7.471706758990090402e-02
2.187500000000000000e-01,8.487115809657895527e-02
2.343750000000000000e-01,9.556447978459488291e-02
2.500000000000000000e-01,1.069703039393074401e-01
2.656250000000000000e-01,1.182699955297322331e-01
2.812500000000000000e-01,1.293413274571834359e-01
2.968750000000000000e-01,1.407061755113138135e-01
3.125000000000000000e-01,1.521266976271163363e-01
3.281250000000000000e-01,1.639779467060495655e-01
3.437500000000000000e-01,1.763037648993252826e-01
3.593750000000000000e-01,1.887081122461554683e-01
3.750000000000000000e-01,2.012695782731154515e-01
3.906250000000000000e-01,2.147890880040922712e-01
4.062500000000000000e-01,2.292847383305671172e-01
4.218750000000000000e-01,2.444243660662042683e-01
4.375000000000000000e-01,2.604125655803363748e-01
4.531250000000000000e-01,2.766843495688450782e-01
4.687500000000000000e-01,2.932058324447393560e-01
4.843750000000000000e-01,3.104311010116952430e-01
5.000000000000000000e-01,3.282383684322999207e-01
5.156250000000000000e-01,3.457330551907127902e-01
5.312500000000000000e-01,3.628795413575542361e-01
5.468750000000000000e-01,3.800145238916877166e-01
5.625000000000000000e-01,3.968956019097735211e-01
5.781250000000000000e-01,4.141520186373349732e-01
5.937500000000000000e-01,4.318031780463650882e-01
6.093750000000000000e-01,4.493192175580362213e-01
6.250000000000000000e-01,4.668221647651735196e-01
6.406250000000000000e-01,4.847987154049906988e-01
6.562500000000000000e-01,5.032207035328853939e-01
6.718750000000000000e-01,5.219290070207002197e-01
6.875000000000000000e-01,5.410334292479006546e-01
7.031250000000000000e-01,5.600956731592328097e-01
7.187500000000000000e-01,5.790872818187405846e-01
7.343750000000000000e-01,5.983107026592486832e-01
7.500000000000000000e-01,6.176628425644418163e-01
7.656250000000000000e-01,6.379180222362877961e-01
7.812500000000000000e-01,6.591807449429373245e-01
7.968750000000000000e-01,6.810086984975672886e-01
8.125000000000000000e-01,7.036285936799175911e-01
8.281250000000000000e-01,7.266611034207971498e-01
8.437500000000000000e-01,7.500771181087095840e-01
8.593750000000000000e-01,7.742698432728121194e-01
8.750000000000000000e-01,7.991670881369238311e-01
8.906250000000000000e-01,8.241024580202150895e-01
9.062500000000000000e-01,8.490752348305039554e-01
9.218750000000000000e-01,8.743643525105175840e-01
9.375000000000000000e-01,8.998077112064420957e-01
9.531250000000000000e-01,9.259047132604847352e-01
9.687500000000000000e-01,9.526925856168350082e-01
9.843750000000000000e-01,9.797921195002569084e-01
1.000000000000000000e+00,1.007318257469715039e+00
1.015625000000000000e+00,1.030713861740734094e+00
1.031250000000000000e+00,1.049470669982041082e+00
1.046875000000000000e+00,1.065803460024424609e+00
1.062500000000000000e+00,1.078376260755923077e+00
1.078125000000000000e+00,1.089710397427182453e+00
1.093750000000000000e+00,1.099901831926844764e+00
1.109375000000000000e+00,1.106464887290788068e+00
1.125000000000000000e+00,1.109844809880656369e+00
1.140625000000000000e+00,1.113453598967365732e+00
1.156250000000000000e+00,1.117202992025449815e+00
1.171875000000000000e+00,1.119674794461263945e+00
1.187500000000000000e+00,1.121651040865244919e+00
1.203125000000000000e+00,1.120370638225729021e+00
1.218750000000000000e+00,1.115593205682379851e+00
1.234375000000000000e+00,1.109285298724254298e+00
1.250000000000000000e+00,1.100773077701114877e+00
1.265625000000000000e+00,1.093038184133128254e+00
1.281250000000000000e+00,1.086544234118697272e+00
1.296875000000000000e+00,1.079360524984466441e+00
1.312500000000000000e+00,1.072358797942506659e+00
1.328125000000000000e+00,1.064209843323703053e+00
1.343750000000000000e+00,1.054753336080695103e+00
1.359375000000000000e+00,1.045420012690015499e+00
1.375000000000000000e+00,1.035932646239368760e+00
1.390625000000000000e+00,1.023312419344252433e+00
1.406250000000000000e+00,1.007488889723322512e+00
1.421875000000000000e+00,9.897092043477258017e-01
1.437500000000000000e+00,9.692125462752284593e-01
1.453125000000000000e+00,9.480908714697779960e-01
1.468750000000000000e+00,9.264724670793457184e-01
1.484375000000000000e+00,9.026740530245507266e-01
1.500000000000000000e+00,8.771478217035620917e-01
1.515625000000000000e+00,8.534887975571828767e-01
1.531250000000000000e+00,8.318582668746947739e-01
1.546875000000000000e+00,8.108791069924161654e-01
1.562500000000000000e+00,7.915316071838833789e-01
1.578125000000000000e+00,7.713257361581333793e-01
1.593750000000000000e+00,7.501850946400023812e-01
1.609375000000000000e+00,7.302279787535983502e-01
1.625000000000000000e+00,7.109749082095769834e-01
1.640625000000000000e+00,6.904274181815694966e-01
1.656250000000000000e+00,6.686975067177995946e-01
1.671875000000000000e+00,6.464557232866974257e-01
1.687500000000000000e+00,6.232518686772429151e-01
1.703125000000000000e+00,6.008732054048634419e-01
1.718750000000000000e+00,5.794403345218590573e-01
1.734375000000000000e+00,5.577196725552493461e-01
1.750000000000000000e+00,5.361340664054071725e-01
1.765625000000000000e+00,5.116375425929312604e-01
1.781250000000000000e+00,4.838169751326683032e-01
1.796875000000000000e+00,4.544274979877385157e-01
1.812500000000000000e+00,4.225784886225951165e-01
1.828125000000000000e+00,3.897569706580695237e-01
1.843750000000000000e+00,3.560817787154627601e-01
1.859375000000000000e+00,3.200116709307762042e-01
1.875000000000000000e+00,2.818322718010310424e-01
1.890625000000000000e+00,2.441903806091558216e-01
1.906250000000000000e+00,2.070941225971516253e-01
1.921875000000000000e+00,1.694378427808045096e-01
1.937500000000000000e+00,1.318685576618288113e-01
1.953125000000000000e+00,9.241324290314750778e-02
1.968750000000000000e+00,5.092780424743276191e-02
1.984375000000000000e+00,8.918405928303967459e-03
2.000000000000000000e+00,-3.406623707389155181e-02
2.015625000000000000e+00,-7.176610854603715506e-02
2.031250000000000000e+00,-1.033780331157370946e-01
2.046875000000000000e+00,-1.321579354848914922e-01
