x,y
0.000000000000000000e+00,0.000000000000000000e+00
1.562500000000000000e-02,-5.501646043650030432e-05
3.125000000000000000e-02,-1.707123073273552434e-04
4.687500000000000000e-02,-3.213727650790899242e-04
6.250000000000000000e-02,-5.230257973652507452e-04
7.812500000000000000e-02,-7.441961126206326832e-04
9.375000000000000000e-02,-9.838266348187311473e-04
1.093750000000000000e-01,-1.272350816978466866e-03
1.250000000000000000e-01,-1.604199392348449466e-03
1.406250000000000000e-01,-1.939938675316415411e-03
1.562500000000000000e-01,-2.280828484805271384e-03
1.718750000000000000e-01,-2.643025853612757537e-03
1.875000000000000000e-01,-3.017585745473819973e-03
2.031250000000000000e-01,-3.436992365192149349e-03
2.187500000000000000e-01,-3.904081514601429829e-03
2.343750000000000000e-01,-4.395975350719028354e-03
2.500000000000000000e-01,-4.920644369498480483e-03
2.656250000000000000e-01,-5.440431280013761223e-03
2.812500000000000000e-01,-5.949713623855384589e-03
2.968750000000000000e-01,-6.472497738028711728e-03
3.125000000000000000e-01,-6.997842864445678011e-03
3.281250000000000000e-01,-7.543001472996178382e-03
3.437500000000000000e-01,-8.109990306893631248e-03
3.593750000000000000e-01,-8.680591489480849604e-03
3.750000000000000000e-01,-9.258420146612430374e-03
3.906250000000000000e-01,-9.880318907168032447e-03
4.062500000000000000e-01,-1.054712022991323959e-02
4.218750000000000000e-01,-1.124354457601899407e-02
4.375000000000000000e-01,-1.197900330634353062e-02
4.531250000000000000e-01,-1.272750695002934987e-02
4.687500000000000000e-01,-1.348749676678409788e-02
4.843750000000000000e-01,-1.427986079367497135e-02
5.000000000000000000e-01,-1.509899682435380912e-02
5.156250000000000000e-01,-1.590375411421592056e-02
5.312500000000000000e-01,-1.669249414305067417e-02
5.468750000000000000e-01,-1.748070500366370045e-02
5.625000000000000000e-01,-1.825723623188090644e-02
5.781250000000000000e-01,-1.905103307718455236e-02
5.937500000000000000e-01,-1.986298812417071000e-02
6.093750000000000000e-01,-2.066872764275634947e-02
6.250000000000000000e-01,-2.147386491406200540e-02
6.406250000000000000e-01,-2.230078798926434305e-02
6.562500000000000000e-01,-2.314820123217636166e-02
6.718750000000000000e-01,-2.400878500944987268e-02
6.875000000000000000e-01,-2.488759028720370983e-02
7.031250000000000000e-01,-2.576445535833151584e-02
7.187500000000000000e-01,-2.663807120101573458e-02
7.343750000000000000e-01,-2.752235042653812525e-02
7.500000000000000000e-01,-2.841255074153642424e-02
7.656250000000000000e-01,-2.934429097349836382e-02
7.812500000000000000e-01,-3.032237828290756942e-02
7.968750000000000000e-01,-3.132646626621558850e-02
8.125000000000000000e-01,-3.236698364130715516e-02
8.281250000000000000e-01,-3.342648132616166112e-02
8.437500000000000000e-01,-3.450362027582328656e-02
8.593750000000000000e-01,-3.561648798281893957e-02
8.750000000000000000e-01,-3.676176366443358740e-02
8.906250000000000000e-01,-3.790879310063295649e-02
9.062500000000000000e-01,-3.905754325910694436e-02
9.218750000000000000e-01,-4.022084512830931269e-02
9.375000000000000000e-01,-4.139124209922252773e-02
9.531250000000000000e-01,-4.259170672808695185e-02
9.687500000000000000e-01,-4.382395145795056624e-02
9.843750000000000000e-01,-4.507053264832608375e-02
1.000000000000000000e+00,-4.633673766808840688e-02
1.015625000000000000e+00,-4.710216410223440342e-02
1.031250000000000000e+00,-4.731144344222511233e-02
1.046875000000000000e+00,-4.721171174317478209e-02
1.062500000000000000e+00,-4.665097641817960578e-02
1.078125000000000000e+00,-4.592301438557235688e-02
1.093750000000000000e+00,-4.503821104829280886e-02
1.109375000000000000e+00,-4.371031438684205850e-02
1.125000000000000000e+00,-4.199126511227060932e-02
1.140625000000000000e+00,-4.026076612642213309e-02
1.156250000000000000e+00,-3.850764095607287635e-02
1.171875000000000000e+00,-3.657538564836075590e-02
1.187500000000000000e+00,-3.455050204700488986e-02
1.203125000000000000e+00,-3.212248480566452097e-02
1.218750000000000000e+00,-2.926425767655998003e-02
1.234375000000000000e+00,-2.619551337065506927e-02
1.250000000000000000e+00,-2.284023194600491927e-02
1.265625000000000000e+00,-1.954828541590238056e-02
1.281250000000000000e+00,-1.637275996687464000e-02
1.296875000000000000e+00,-1.308923755258725730e-02
1.312500000000000000e+00,-9.799619842074672876e-03
1.328125000000000000e+00,-6.345308359248152952e-03
1.343750000000000000e+00,-2.707536079999741611e-03
1.359375000000000000e+00,9.449749455719592831e-04
1.375000000000000000e+00,4.645398085327988834e-03
1.390625000000000000e+00,8.738873628645177014e-03
1.406250000000000000e+00,1.323334426973218729e-02
1.421875000000000000e+00,1.798513099751393451e-02
1.437500000000000000e+00,2.308239378782110662e-02
1.453125000000000000e+00,2.828209472144758638e-02
1.468750000000000000e+00,3.356952765980300568e-02
1.484375000000000000e+00,3.914011472290634952e-02
1.500000000000000000e+00,4.494140961416231289e-02
1.515625000000000000e+00,5.057559103777254511e-02
1.531250000000000000e+00,5.602598423549330631e-02
1.546875000000000000e+00,6.144342517989258984e-02
1.562500000000000000e+00,6.671983440558727774e-02
1.578125000000000000e+00,7.213325775794245109e-02
1.593750000000000000e+00,7.769225158859398295e-02
1.609375000000000000e+00,8.316169322659094920e-02
1.625000000000000000e+00,8.859534677267301428e-02
1.640625000000000000e+00,9.421160606426599859e-02
1.656250000000000000e+00,9.999800046941202669e-02
1.671875000000000000e+00,1.058823379479337384e-01
1.687500000000000000e+00,1.119138592973556168e-01
1.703125000000000000e+00,1.178964620439931082e-01
1.718750000000000000e+00,1.238172042049300176e-01
1.734375000000000000e+00,1.298114194518470987e-01
1.750000000000000000e+00,1.358328688080527868e-01
1.765625000000000000e+00,1.422228688149677345e-01
1.781250000000000000e+00,1.490275777036879634e-01
1.796875000000000000e+00,1.560513276150305439e-01
1.812500000000000000e+00,1.633939963791969929e-01
1.828125000000000000e+00,1.708886154523519274e-01
1.843750000000000000e+00,1.785221545147001598e-01
1.859375000000000000e+00,1.864676823689530027e-01
1.875000000000000000e+00,1.946933020251545854e-01
1.890625000000000000e+00,2.029041027662094321e-01
1.906250000000000000e+00,2.110995242392930127e-01
1.921875000000000000e+00,2.194029055879573864e-01
1.937500000000000000e+00,2.277423635509523980e-01
1.953125000000000000e+00,2.363384234173666054e-01
1.968750000000000000e+00,2.452073866811302350e-01
1.984375000000000000e+00,2.541814350661633637e-01
2.000000000000000000e+00,2.633111946947980786e-01
2.015625000000000000e+00,2.700835806854625654e-01
2.031250000000000000e+00,2.742224285568496955e-01
2.046875000000000000e+00,2.769395627262005166e-01
2.062500000000000000e+00,2.774990291848274393e-01
2.078125000000000000e+00,2.773003607220184130e-01
2.093750000000000000e+00,2.763953729565097883e-01
2.109375000000000000e+00,2.734093716953255870e-01
2.125000000000000000e+00,2.685894542776207650e-01
2.140625000000000000e+00,2.638010217001821034e-01
2.156250000000000000e+00,2.589934683630390477e-01
2.171875000000000000e+00,2.533933001525443540e-01
2.187500000000000000e+00,2.474270888009871272e-01
2.203125000000000000e+00,2.395797859770571747e-01
2.218750000000000000e+00,2.297192583568345436e-01
2.234375000000000000e+00,2.189219357287692236e-01
2.250000000000000000e+00,2.068175511981582837e-01
2.265625000000000000e+00,1.950653197545524076e-01
2.281250000000000000e+00,1.839209652878198709e-01
2.296875000000000000e+00,1.723132555913437225e-01
2.312500000000000000e+00,1.607265430483134916e-01
2.328125000000000000e+00,1.484166641506215467e-01
2.343750000000000000e+00,1.352942936566302878e-01
2.359375000000000000e+00,1.221568645799502584e-01
2.375000000000000000e+00,1.088488799406440860e-01
2.390625000000000000e+00,9.371944105564811167e-02
2.406250000000000000e+00,7.672969215420342992e-02
2.421875000000000000e+00,5.856924776775782743e-02
2.437500000000000000e+00,3.881631157125187137e-02
2.453125000000000000e+00,1.863103214570663302e-02
2.468750000000000000e+00,-1.915927174602455318e-03
2.484375000000000000e+00,-2.375816464886376655e-02
2.500000000000000000e+00,-4.664518315169598195e-02
2.515625000000000000e+00,-6.861444144351559749e-02
2.531250000000000000e+00,-8.957990906631979611e-02
2.546875000000000000e+00,-1.102911545997315723e-01
2.562500000000000000e+00,-1.302137884717190497e-01
2.578125000000000000e+00,-1.507113744138007527e-01
2.593750000000000000e+00,-1.718259591282680077e-01
2.609375000000000000e+00,-1.924000985575153311e-01
2.625000000000000000e+00,-2.126968545791040055e-01
2.640625000000000000e+00,-2.338031388623514895e-01
2.656250000000000000e+00,-2.556578602882690898e-01
2.671875000000000000e+00,-2.778982705781022355e-01
2.687500000000000000e+00,-3.007694247315923497e-01
2.703125000000000000e+00,-3.232983690571678004e-01
2.718750000000000000e+00,-3.454200724375802722e-01
2.734375000000000000e+00,-3.678063450663569545e-01
2.750000000000000000e+00,-3.902273779443632962e-01
2.765625000000000000e+00,-4.143530470839600355e-01
2.781250000000000000e+00,-4.404097771471147116e-01
2.796875000000000000e+00,-4.674372235827884969e-01
2.812500000000000000e+00,-4.959238962932526196e-01
2.828125000000000000e+00,-5.250542964979860727e-01
2.843750000000000000e+00,-5.547639098075646258e-01
2.859375000000000000e+00,-5.858983455822740494e-01
2.875000000000000000e+00,-6.183013810594226722e-01
2.890625000000000000e+00,-6.505249518324218716e-01
2.906250000000000000e+00,-6.825653323356717372e-01
2.921875000000000000e+00,-7.150279048266918736e-01
2.937500000000000000e+00,-7.475591481257536364e-01
2.953125000000000000e+00,-7.812398966430065261e-01
2.968750000000000000e+00,-8.161495583623745720e-01
2.984375000000000000e+00,-8.514641877307113083e-01
3.000000000000000000e+00,-8.874314303159914763e-01
3.015625000000000000e+00,-9.114805134247689899e-01
3.031250000000000000e+00,-9.222310912361830759e-01
3.046875000000000000e+00,-9.257402661240875519e-01
3.062500000000000000e+00,-9.183265781997209665e-01
3.078125000000000000e+00,-9.069933472086145754e-01
3.093750000000000000e+00,-8.919987245478911975e-01
3.109375000000000000e+00,-8.664644745504361811e-01
3.125000000000000000e+00,-8.316265749987405975e-01
3.140625000000000000e+00,-7.968089073373653131e-01
3.156250000000000000e+00,-7.617570218899414325e-01
3.171875000000000000e+00,-7.226046258026341818e-01
3.187500000000000000e+00,-6.814830338336163029e-01
3.203125000000000000e+00,-6.308163476770898281e-01
3.218750000000000000e+00,-5.699432178135385163e-01
3.234375000000000000e+00,-5.042442395389887810e-01
3.250000000000000000e+00,-4.318672736160543146e-01
3.265625000000000000e+00,-3.611176400656722629e-01
3.281250000000000000e+00,-2.932739833859090428e-01
3.296875000000000000e+00,-2.229745580978395592e-01
3.312500000000000000e+00,-1.526431239886990587e-01
3.328125000000000000e+00,-7.855205954247979072e-02
3.343750000000000000e+00,-2.536110599440071639e-04
3.359375000000000000e+00,7.826037774258987056e-02
3.375000000000000000e+00,1.577693714446975759e-01
3.390625000000000000e+00,2.465354387780343270e-01
3.406250000000000000e+00,3.447535058139969411e-01
3.421875000000000000e+00,4.489737700804921627e-01
3.437500000000000000e+00,5.613076220051848031e-01
3.453125000000000000e+00,6.759496310974306699e-01
3.468750000000000000e+00,7.925469161568672316e-01
3.484375000000000000e+00,9.157722839004265314e-01
3.500000000000000000e+00,1.044372787556868687e+00
3.515625000000000000e+00,1.146002508096287897e+00
3.531250000000000000e+00,1.217913025036566177e+00
3.546875000000000000e+00,1.274384470233390854e+00
3.562500000000000000e+00,1.306180922526139376e+00
3.578125000000000000e+00,1.333013769254629555e+00
3.593750000000000000e+00,1.355526893908962860e+00
3.609375000000000000e+00,1.355468332091334549e+00
3.625000000000000000e+00,1.336435441721854245e+00
3.640625000000000000e+00,1.320013625492199028e+00
3.656250000000000000e+00,1.305382038250336052e+00
3.671875000000000000e+00,1.284110813042800281e+00
3.687500000000000000e+00,1.261089362438372552e+00
3.703125000000000000e+00,1.218149282303676806e+00
3.718750000000000000e+00,1.153804743653796372e+00
3.734375000000000000e+00,1.080785332428371159e+00
3.750000000000000000e+00,9.946783050611900379e-01
3.765625000000000000e+00,9.192596527352006053e-01
3.781250000000000000e+00,8.579652380246369781e-01
3.796875000000000000e+00,7.961606109480859894e-01
3.812500000000000000e+00,7.407707882898542096e-01
3.828125000000000000e+00,6.806513730607517410e-01
3.843750000000000000e+00,6.146544625940084661e-01
3.859375000000000000e+00,5.544717571758558394e-01
3.875000000000000000e+00,4.978419383853611713e-01
3.890625000000000000e+00,4.224340998375690770e-01
3.906250000000000000e+00,3.278894546956399036e-01
3.921875000000000000e+00,2.234943305045184458e-01
3.937500000000000000e+00,1.036268570724184768e-01
3.953125000000000000e+00,-1.566215154848263000e-02
3.968750000000000000e+00,-1.333364021468251559e-01
3.984375000000000000e+00,-2.620709971323609278e-01
4.000000000000000000e+00,-3.983321456509078540e-01
4.015625000000000000e+00,-5.072443287594108341e-01
4.031250000000000000e+00,-5.867130008961300991e-01
4.046875000000000000e+00,-6.505959937688364780e-01
4.062500000000000000e+00,-6.891717772679488707e-01
4.078125000000000000e+00,-7.255472026782407990e-01
4.093750000000000000e+00,-7.603502185332703389e-01
4.109375000000000000e+00,-7.732510464858016741e-01
4.125000000000000000e+00,-7.685549727569295220e-01
4.140625000000000000e+00,-7.667786985048913317e-01
4.156250000000000000e+00,-7.668110813706099371e-01
4.171875000000000000e+00,-7.612341953532295591e-01
4.187500000000000000e+00,-7.546085899116065088e-01
4.203125000000000000e+00,-7.288035687370061355e-01
4.218750000000000000e+00,-6.824203566806489318e-01
4.234375000000000000e+00,-6.278837992527189771e-01
4.250000000000000000e+00,-5.607948933630348964e-01
4.265625000000000000e+00,-5.095716180090208436e-01
